schema_version,time_s,step,heave_m,roll_rad,pitch_rad,heave_rate_m_s,roll_rate_rad_s,pitch_rate_rad_s,compression_fl_m,compression_fr_m,compression_rl_m,compression_rr_m,gravity_x_m_s2,gravity_y_m_s2,gravity_z_m_s2
1,3.085,617,-0.0016751626937952149,-0.020003645443286148,0.00058781994478579902,-3.6970594393410226e-07,9.7234728538636982e-06,3.2639154488287734e-06,0.017347886799784142,-0.01581815734518429,0.0183772676253935,-0.013708579665637481,0,0,-9.8066499999999994
1,3.0899999999999999,618,-0.0016751645423254437,-0.020003596168688246,0.00058783618129621871,-3.6996341350015141e-07,9.9814640332381835e-06,3.2305518534778636e-06,0.017347822655812674,-0.015818139791872434,0.018377248163318996,-0.013708520091256952,0,0,-9.8066499999999994
1,3.0950000000000002,619,-0.0016751663924776618,-0.020003545609972095,0.00058785225063422055,-3.7034930540930977e-07,1.0237070684061318e-05,3.1970546740862025e-06,0.017347757707812377,-0.015818120913521357,0.018377227485536496,-0.013708459672858745,0,0,-9.8066499999999994
1,3.1000000000000001,620,-0.0016751682448124202,-0.020003493779791385,0.00058786815225334087,-3.7083100669691938e-07,1.0490002557114183e-05,3.1634721931378009e-06,0.017347691967679952,-0.015818100719214162,0.018377205602142007,-0.013708398420643374,0,0,-9.8066499999999994
1,3.105,621,-0.0016751700997275636,-0.020003440692218436,0.00058788388584388792,-3.7137608437202567e-07,1.0739982457772254e-05,3.1298508111613194e-06,0.0173476254479588,-0.015818079219739364,0.018377182524472086,-0.013708336345846287,0,0,-9.8066499999999994
1,3.1099999999999999,622,-0.0016751719574596661,-0.020003386362678868,0.00058789945132316451,-3.7195249707833011e-07,1.0986746261310335e-05,3.096234903345474e-06,0.017347558161801394,-0.015818056427520169,0.018377158265041917,-0.013708273460694989,0,0,-9.8066499999999994
1,3.1150000000000002,623,-0.0016751738180864858,-0.020003330807886278,0.00058791484882502842,-3.7252879132946693e-07,1.1230042892829072e-05,3.0626666980015014e-06,0.017347490122933771,-0.015818032356541677,0.018377132837483667,-0.013708209778365923,0,0,-9.8066499999999994
1,3.1200000000000001,624,-0.0016751756815303628,-0.020003274045777123,0.00058793007868889835,-3.7307428218294865e-07,1.1469634273084983e-05,3.0291861761614872e-06,0.01734742134562197,-0.015818007022276499,0.018377106256485344,-0.013708145312941161,0,0,-9.8066499999999994
1,3.125,625,-0.0016751775475624816,-0.020003216095445937,0.00058794514144830889,-3.7355921837023428e-07,1.1705295232995046e-05,2.995830991489821e-06,0.017347351844640313,-0.01581798044160905,0.018377078537730258,-0.013708080079365028,0,0,-9.8066499999999994
1,3.1299999999999999,626,-0.0016751794158079189,-0.02000315697708106,0.00058796003781911427,-3.7395493195540502e-07,1.1936813397954798e-05,2.9626364095410483e-06,0.017347281635241435,-0.01581795263275896,0.018377049697837284,-0.013708014093400738,0,0,-9.8066499999999994
1,3.1350000000000002,627,-0.0016751812857514032,-0.020003096711901015,0.00058797476868743446,-3.7423397264179326e-07,1.2163989043824164e-05,2.9296352654542661e-06,0.017347210733127984,-0.015817923615203899,0.018377019754302105,-0.013707947371587122,0,0,-9.8066499999999994
1,3.1400000000000001,628,-0.0016751831567437072,-0.020003035322091665,0.00058798933509743366,-3.7437022699192948e-07,1.2386634928062278e-05,2.8968579390675836e-06,0.01734713915442581,-0.015817893409602168,0.018376988725439483,-0.013707879931195547,0,0,-9.8066499999999994
1,3.145,629,-0.001675185028008599,-0.02000297283074428,0.00058800373823901606,-3.743390228148538e-07,1.260457609590728e-05,2.8643323463961222e-06,0.017347066915658665,-0.015817862037715347,0.018376956630326746,-0.013707811790187081,0,0,-9.8066499999999994
1,3.1499999999999999,630,-0.0016751868986502789,-0.020002909261794627,0.00058801797943551753,-3.7411721907758964e-07,1.2817649665681579e-05,2.8320839464345592e-06,0.017346994033724181,-0.015817829522331309,0.018376923488748559,-0.013707742967170023,0,0,-9.8066499999999994
1,3.1550000000000002,631,-0.0016751887676612314,-0.020002844639963185,0.00058803206013146735,-3.7368328175152759e-07,1.3025704593568076e-05,2.8001357621804519e-06,0.017346920525871119,-0.01581779588718784,0.018376889321143133,-0.013707673481357818,0,0,-9.8066499999999994
1,3.1600000000000001,632,-0.0016751906339304201,-0.020002778990696586,0.00058804598188048863,-3.7301734604735327e-07,1.3228601421367285e-05,2.768508414799218e-06,0.017346846409677763,-0.015817761156897172,0.018376854148549861,-0.013707603352527463,0,0,-9.8066499999999994
1,3.165,633,-0.0016751924962517633,-0.020002712340110335,0.00058805974633339931,-3.7210126553326128e-07,1.3426212007936261e-05,2.7372201697861732e-06,0.017346771703031328,-0.015817725356871606,0.018376817992558525,-0.013707532600978452,0,0,-9.8066499999999994
1,3.1699999999999999,634,-0.001675194353332821,-0.020002644714932943,0.0005880733552265727,-3.7091864864820457e-07,1.3618419247068001e-05,2.7062869940717258e-06,0.017346696424108358,-0.015817688513250459,0.01837678087526012,-0.013707461247492322,0,0,-9.8066499999999994
1,3.1750000000000003,635,-0.0016751962038036366,-0.020002576142451472,0.00058808681037060789,-3.694548832341532e-07,1.3805116773308511e-05,2.6757226229647173e-06,0.017346620591355982,-0.015817650652828554,0.018376742819199321,-0.013707389313292845,0,0,-9.8066499999999994
1,3.1800000000000002,636,-0.0016751980462256708,-0.020002506650458593,0.00058810011363935751,-3.6769714962829735e-07,1.3986208657881005e-05,2.6455386358486033e-06,0.017346544223473932,-0.015817611802986412,0.018376703847328639,-0.013707316820006947,0,0,-9.8066499999999994
1,3.1850000000000001,637,-0.0016751998791007738,-0.02000243626720118,0.00058811326695935374,-3.6563442297064218e-07,1.4161609095759217e-05,2.6157445395929435e-06,0.017346467339397292,-0.015817571991622259,0.01837666398296434,-0.013707243789626355,0,0,-9.8066499999999994
1,3.1899999999999999,638,-0.0016752017008801441,-0.02000236502133048,0.00058812627229966807,-3.6325746535033283e-07,1.4331242086399892e-05,2.5863478586052951e-06,0.017346389958279848,-0.015817531247086087,0.018376623249744036,-0.013707170244470053,0,0,-9.8066499999999994
1,3.1950000000000003,639,-0.0016752035099732243,-0.020002292941853919,0.00058813913166223645,-3.6055880844307373e-07,1.4495041109239044e-05,2.5573542306093217e-06,0.017346312099477981,-0.015817489598115814,0.018376581671586099,-0.013707096207147589,0,0,-9.8066499999999994
1,3.2000000000000002,640,-0.001675205304756486,-0.020002220058088497,0.00058815184707267532,-3.575327273262459e-07,1.4652948795836136e-05,2.5287675071138766e-06,0.017346233782535105,-0.015817447073775623,0.01837653927265076,-0.013707021700523191,0,0,-9.8066499999999994
1,3.2050000000000001,641,-0.0016752070835820648,-0.02000214639961587,0.00058816442057160951,-3.5417520610389848e-07,1.4804916599226121e-05,2.50058985762791e-06,0.017346155027166424,-0.015817403703396685,0.018376496077302996,-0.013706946747680861,0,0,-9.8066499999999994
1,3.21,642,-0.0016752088447862035,-0.020002071996239067,0.00058817685420652912,-3.5048389603963145e-07,1.4950904463190433e-05,2.4728218768093722e-06,0.017346075853244158,-0.015817359516520212,0.018376452110077136,-0.013706871371890328,0,0,-9.8066499999999994
1,3.2149999999999999,643,-0.0016752105866974691,-0.020001996877940853,0.00058818915002418766,-3.4645806684264412e-07,1.5090880491293385e-05,2.4454626936422951e-06,0.017345996280782979,-0.015817314542842954,0.018376407395643158,-0.013706795596573973,0,0,-9.8066499999999994
1,3.2200000000000002,644,-0.0016752123076447104,-0.020001921074843765,0.00058820131006354938,-3.4209855180474341e-07,1.5224820618115458e-05,2.4185100818403298e-06,0.017345916329925781,-0.015817268812165181,0.018376361958774678,-0.013706719445274726,0,0,-9.8066499999999994
1,3.2250000000000001,645,-0.0016752140059647263,-0.020001844617171777,0.00058821333634928976,-3.3740768740376624e-07,1.5352708282501935e-05,2.3919605707477057e-06,0.017345836020929619,-0.015817222354341187,0.018376315824318586,-0.013706642941624946,0,0,-9.8066499999999994
1,3.23,646,-0.001675215680009621,-0.020001767535213572,0.00058822523088585097,-3.3238924803477705e-07,1.5474534104865439e-05,2.3658095560278545e-06,0.017345755374151842,-0.015817175199232258,0.018376269017166297,-0.013706566109316269,0,0,-9.8066499999999994
1,3.2349999999999999,647,-0.0016752173281538219,-0.020001689859287446,0.00058823699565204834,-3.2704837649791042e-07,1.5590295568983468e-05,2.3400514094819783e-06,0.017345674410036351,-0.015817127376662233,0.018376221562226562,-0.013706488972070505,0,0,-9.8066499999999994
1,3.2400000000000002,648,-0.0016752189488007394,-0.02000161161970777,0.00058824863259622257,-3.2139151085809019e-07,1.5699996708724699e-05,2.3146795873338887e-06,0.017345593149099971,-0.015817078916375512,0.018376173484399776,-0.01370641155361149,0,0,-9.8066499999999994
1,3.2450000000000001,649,-0.0016752205403890541,-0.02000153284675301,0.00058826014363192857,-3.1542630825288016e-07,1.5803647801242255e-05,2.2896867365518805e-06,0.017345511611918895,-0.015817029847997596,0.018376124808553811,-0.013706333877638015,0,0,-9.8066499999999994
1,3.25,650,-0.0016752221013986168,-0.020001453570635271,0.00058827153063414949,-3.0916156624064896e-07,1.5901265066447387e-05,2.2650647985372354e-06,0.017345429819115212,-0.015816980200998067,0.018376075559501243,-0.013706255967797737,0,0,-9.8066499999999994
1,3.2549999999999999,651,-0.0016752236303559493,-0.020001373821471307,0.00058828279543602226,-3.0260714223551491e-07,1.5992870373681468e-05,2.2408051098711577e-06,0.017345347791343439,-0.015816930004655987,0.018376025761977895,-0.013706177847662085,0,0,-9.8066499999999994
1,3.2600000000000002,652,-0.0016752251258393398,-0.020001293629255006,0.00058829393982605816,-2.9577387154717949e-07,1.6078490956322493e-05,2.2168984996113347e-06,0.017345265549277105,-0.015816879288027691,0.018375975440622798,-0.013706099540702234,0,0,-9.8066499999999994
1,3.2650000000000001,653,-0.0016752265864835251,-0.02000121302383125,0.00058830496554584054,-2.8867348453088117e-07,1.6158159134082885e-05,2.1933353828173195e-06,0.017345183113595342,-0.01581682807991687,0.018375924619959294,-0.013706021070266031,0,0,-9.8066499999999994
