s_m,x_m,y_m,elevation_m,grade,heading_rad,curvature_1_m,left_width_m,right_width_m,left_x_m,left_y_m,right_x_m,right_y_m,projection_s_error_m,projection_lateral_error_m,projection_reconstruction_error_m
0,-281.080871,487.86305800000002,0,0,-1.7191715904659335,-0.0029325449157388615,7,7,-274.15778300769648,486.82823789446348,-288.00395899230352,488.89787810553656,4.0907938653170662e-14,1.4321877017664519e-14,5.6843418860808015e-14
2.9450110983394397,-281.538547700675,484.95387166307887,0,0,-1.7378486624654319,-0.0097508438853424004,7,7,-274.63599346007544,483.78993654651066,-288.44110194127455,486.11780677964708,1.1102230246251565e-14,1.7097434579227411e-14,0
5.8900221966788795,-282.07967743670594,482.05919193611561,0,0,-1.7767925259967861,-0.016754913940657937,7,7,-275.22767349964437,480.62739514659103,-288.9316813737675,483.49098872564019,3.1086244689504383e-14,4.9960036108132044e-15,0
8.8350332950183184,-282.76317469937595,479.19505130014505,0,0,-1.8369642912187438,-0.024184799935880383,7,7,-276.00967310549913,477.35379731942891,-289.51667629325277,481.0363052808612,5.5067062021407764e-14,3.219646771412954e-14,5.6843418860808015e-14
11.780044393357759,-283.63279783089121,476.38185195270063,0,0,-1.8992351835313503,-0.018336855636732444,7,7,-277.00696835431853,474.12389186727387,-290.25862730746388,478.63981203812739,1.7763568394002505e-15,1.021405182655144e-14,0
14.7250554916972,-284.65850509894818,473.62163036663844,0,0,-1.9543425769711451,-0.019164921590561719,7,7,-278.16710114377702,471.00215051544882,-291.14990905411935,476.24111021782807,1.4210854715202004e-14,2.6867397195928788e-14,0
17.670066590036637,-285.83858263483415,470.92384239607094,0,0,-2.0125834303022399,-0.02046910148347347,7,7,-279.51065948823123,467.93095271372601,-292.16650578143708,473.91673207841586,4.2632564145606011e-14,3.397282455352979e-14,0
20.615077688376076,-287.17965098343547,468.30244678940369,0,0,-2.0763631495382748,-0.023119567151343053,7,7,-281.05535027791416,464.91232276979156,-293.30395168895677,471.69257080901582,1.0658141036401503e-14,4.4408920985006262e-16,0
23.560088786715518,-288.6878752232949,465.77350993126606,0,0,-2.1389851983284793,-0.019529558996995461,7,7,-282.78773666571482,462.00676531537334,-294.58801378087497,469.54025454715878,3.5527136788005009e-15,5.2180482157382357e-15,0
26.505099885054957,-290.33944724325585,463.33560747483472,0,0,-2.1920403382365286,-0.016599015198252298,7,7,-284.64736215437921,459.26127718127867,-296.03153233213249,467.40993776839076,7.1054273576010019e-15,5.5511151231257827e-15,0
29.450110983394399,-292.10853028644021,460.98147019646018,0,0,-2.2372626197152234,-0.014187179375587165,7,7,-286.60645223592473,456.65398396008277,-297.61060833695569,465.30895643283759,2.8421709430404007e-14,1.2878587085651816e-14,0
32.395122081733838,-293.98479935521624,458.71192964088129,0,0,-2.2871604666261027,-0.017036069453986984,7,7,-288.70541205959404,454.11540162695354,-299.26418665083844,463.30845765480905,2.1316282072803006e-14,1.532107773982716e-14,0
35.340133180073273,-295.97223072495854,456.53902475597999,0,0,-2.3355519155729993,-0.015868779137824494,7,7,-290.92136952704175,451.69250010842285,-301.02309192287532,461.38554940353714,5.6843418860808015e-14,2.4424906541753444e-15,8.0388733884609289e-14
38.285144278412716,-298.05915162072631,454.46143748527595,0,0,-2.3808655011712436,-0.014943640023130879,7,7,-293.23301331640647,449.39109340744682,-302.88528992504615,459.53178156310508,7.1054273576010019e-15,4.9960036108132044e-15,0
41.230155376752151,-300.23403536037688,452.47603297073363,0,0,-2.4205023336225917,-0.012579034137506646,7,7,-295.6126074396899,447.2184285757744,-304.85546328106386,457.73363736569286,2.1316282072803006e-14,3.2640556923979602e-14,0
44.175166475091594,-302.48500688003293,450.57737475520992,0,0,-2.4631991070546371,-0.016482366978962687,7,7,-298.09220532838452,445.1273018632354,-306.87780843168133,456.02744764718443,0,1.8429702208777599e-14,0
47.120177573431036,-304.82555775824432,448.79055153033011,0,0,-2.5180769045639551,-0.020885906202174093,7,7,-300.73830706556203,443.10773693057689,-308.9128084509266,454.47336613008332,2.1316282072803006e-14,4.2188474935755949e-14,0
50.065188671770478,-307.27160805577353,447.15149479473791,0,0,-2.5866349215278404,-0.023289359728925638,7,7,-303.58325642241942,441.2020358085162,-310.95995968912763,453.10095378095963,3.5527136788005009e-14,3.907985046680551e-14,5.6843418860808015e-14
53.010199770109914,-309.82375643041206,445.68293922463477,0,0,-2.650848084209358,-0.020428537603251386,7,7,-306.52477742060512,439.50906382154693,-313.122735440219,451.8568146277226,0,1.532107773982716e-14,0
55.955210868449356,-312.45988233915523,444.37083824909507,0,0,-2.7075614292334875,-0.018181110761692054,7,7,-309.51616078815596,438.0198931674413,-315.4036038901545,450.72178333074885,2.8421709430404007e-14,6.0396132539608516e-14,0
58.900221966788799,-315.16267394715669,443.20201807140006,0,0,-2.7584549547748405,-0.016463931023949187,7,7,-312.54584638643013,436.7095444659534,-317.77950150788325,449.69449167684672,2.1316282072803006e-14,6.9277916736609768e-14,0
61.845233065128234,-317.91935052341108,442.16655612394459,0,0,-2.8063555446515527,-0.016870218716841249,7,7,-315.61639890212064,435.55622982110629,-320.22230214470153,448.77688242678289,2.1316282072803006e-14,7.8825834748386114e-15,0
64.790244163467676,-320.72417773319728,441.26987633213298,0,0,-2.8590080647389322,-0.018958741049699194,7,7,-318.77230714169821,434.54751058828646,-322.67604832469635,447.9922420759795,2.8421709430404007e-14,1.3655743202889425e-14,0
67.735255261807126,-323.57466574041484,440.53146169953982,0,0,-2.918474477972254,-0.021507006948068737,7,7,-322.02576470241706,433.70497610485131,-325.12356677841262,447.35794729422832,7.1054273576010019e-14,2.7533531010703882e-14,5.6843418860808015e-14
70.680266360146547,-326.46602039590402,439.97473215319201,0,0,-2.9843666439793539,-0.021468616623379684,7,7,-325.3699671288411,433.06107413187215,-327.56207366296695,446.88839017451187,1.4210854715202004e-14,5.773159728050814e-15,0
73.625277458485982,-329.38709746221326,439.6036442673315,0,0,-3.0454470087889165,-0.020143776869028338,7,7,-328.71511436650923,432.63597329927569,-330.0590805579173,446.57131523538732,2.8421709430404007e-14,2.6201263381153694e-14,0
76.570288556825432,-332.32511446010085,439.40692903405932,0,0,-3.1037442802345101,-0.019565965608785929,7,7,-332.06023909614942,432.41194218335175,-332.58998982405228,446.40191588476688,0,2.5091040356528538e-14,0
79.515299655164867,-335.26959773069819,439.38025576111681,0,0,3.1217933424113933,-0.019705375312192339,7,7,-335.40818385394562,432.3816277608268,-335.13101160745077,446.37888376140683,0,6.8833827526759706e-15,0
82.460310753504302,-338.21096543106535,439.51923617612886,0,0,3.0669832069894074,-0.01910949141949058,7,7,-338.73274715366097,432.53871013334634,-337.68918370846973,446.49976221891137,2.8421709430404007e-14,7.9936057773011271e-15,5.6843418860808015e-14
85.405321851843752,-341.1397256762512,439.8240692240538,0,0,3.0077435545179227,-0.021229869092071408,7,7,-342.0738742262713,432.88668019888769,-340.20557712623111,446.76145824921991,0,1.0325074129013956e-14,0
88.350332950183187,-344.04352287051705,440.31177878505486,0,0,2.9412531475880548,-0.024049468158804842,7,7,-345.43653727528647,433.45178528155174,-342.65050846574763,447.17177228855797,0,1.4988010832439613e-14,0
91.295344048522637,-346.90428164434275,441.00778395280469,0,0,2.8612197500898171,-0.02781740810731272,7,7,-348.84127971628754,434.28111773027797,-344.96728357239795,447.7344501753314,4.2632564145606011e-14,4.8849813083506888e-15,0
94.240355146862072,-349.70177316944165,441.92627045171741,0,0,2.7914905803381878,-0.019673026817399197,7,7,-352.10272900291534,435.35090650090001,-347.30081733596796,448.50163440253482,1.4210854715202004e-14,3.2418512319054571e-14,0
97.185366245201507,-352.44149402793903,443.00582159220033,0,0,2.7446249431373175,-0.012248748485688962,7,7,-355.14785945654052,436.55015848397738,-349.73512859933754,449.46148470042328,9.9475983006414026e-14,2.453592884421596e-14,0
100.13037734354096,-355.14056112212035,444.18380363385779,0,0,2.7185090191774912,-0.0084856734705462001,7,7,-358.01458011906169,437.80101311518808,-352.266542125179,450.5665941525275,2.8421709430404007e-14,1.6875389974302379e-14,0
103.07538844188039,-357.80752890818241,445.43265517229435,0,0,2.6864166774748082,-0.013338624707948877,7,7,-360.88487156458774,439.14536941649573,-354.73018625177707,451.71994092809297,4.2632564145606011e-14,1.7652546091539989e-14,0
106.02039954021983,-360.42316138538388,446.78542087858932,0,0,2.6396323130099391,-0.01850559021900406,7,7,-363.79117622445551,440.64893360623284,-357.05514654631224,452.9219081509458,1.4210854715202004e-14,3.219646771412954e-15,0
108.96541063855928,-362.96085073097868,448.27886741278616,0,0,2.5769192363431097,-0.024174914766176205,7,7,-366.7068304467283,442.36552352212732,-359.21487101522905,454.19221130344499,4.2632564145606011e-14,4.7739590058881731e-15,5.6843418860808015e-14
111.91042173689871,-365.39415731134886,449.93696110843661,0,0,2.5135042575782096,-0.01962403663005817,7,7,-369.50735068823258,444.27289540928018,-361.28096393446515,455.60102680759303,2.8421709430404007e-14,2.2648549702353193e-14,5.6843418860808015e-14
114.85543283523816,-367.72575695433721,451.73538059437777,0,0,2.4555684652700345,-0.019814214213352482,7,7,-372.1600177678057,446.31898594127705,-363.29149614086873,457.1517752474785,1.4210854715202004e-14,1.9761969838327786e-14,0
117.8004439335776,-369.94822332270849,453.66701030483659,0,0,2.3962470309473671,-0.02056745019473049,7,7,-374.6958041535708,448.52303555232965,-365.20064249184617,458.81098505734354,1.4210854715202004e-14,2.6645352591003757e-15,0
120.74545503191702,-372.04848366637202,455.73074418930833,0,0,2.3311062416629769,-0.024372525043002882,7,7,-377.12084094892612,450.9067218429546,-366.97612638381793,460.55476653566205,1.4210854715202004e-14,9.7699626167013776e-15,0
123.69046613025647,-374.00526579245684,457.93099343827208,0,0,2.2666804147186159,-0.019484136852179729,7,7,-379.37767650516389,453.44354392501958,-368.63285507974979,462.41844295152458,4.2632564145606011e-14,5.0959236830294685e-14,0
126.6354772285959,-375.83243510054007,460.24025137253318,0,0,2.2157781716566038,-0.015168515087705142,7,7,-381.42620987210438,456.03196385799589,-370.23866032897575,464.44853888707047,2.8421709430404007e-14,3.3306690738754696e-16,0
129.58048832693535,-377.55449548439117,462.62908155812875,0,0,2.1769363316797854,-0.011259362175089833,7,7,-383.30746768671929,458.6411860179673,-371.80152328206304,466.61697709829019,2.8421709430404007e-14,1.4654943925052066e-14,0
132.52549942527477,-379.18426243329674,465.08177600586703,0,0,2.1361714378295038,-0.014846398572267916,7,7,-385.09497633768621,461.33164785599575,-373.27354852890727,468.8319041557383,2.8421709430404007e-14,7.9936057773011271e-15,0
135.47051052361425,-380.7051999184232,467.60334472897824,0,0,2.0901115764485168,-0.0164883007705172,7,7,-386.78231442373624,464.12934425555949,-374.62808541311017,471.077345202397,2.8421709430404007e-14,3.6193270602780103e-14,5.6843418860808015e-14
138.41552162195367,-382.10169548093802,470.19583065131968,0,0,2.0387092225006231,-0.01848251351803951,7,7,-388.3492764470202,467.0386591209388,-375.85411451485584,473.35300218170056,5.6843418860808015e-14,9.7699626167013776e-15,8.0388733884609289e-14
141.36053272029309,-383.35720701344303,472.85941153722388,0,0,1.9849400786869438,-0.017289811340061634,7,7,-389.76543552266958,470.0425680247908,-376.94897850421648,475.67625504965696,0,1.7763568394002505e-15,0
144.30554381863254,-384.47343715070474,475.58434622210251,0,0,1.9342694381720302,-0.017194800271190979,7,7,-391.01611100777313,473.09568819014362,-377.93076329363635,478.0730042540614,2.8421709430404007e-14,2.886579864025407e-15,0
147.25055491697196,-385.45000895510731,478.3623885179166,0,0,1.8832336546741664,-0.017537750753365274,7,7,-392.11111945312888,476.21073637754938,-378.78889845708574,480.51404065828382,2.8421709430404007e-14,2.0650148258027912e-14,0
150.19556601531144,-386.28164317231818,481.1871859417335,0,0,1.8314114863614543,-0.014770545483357713,7,7,-393.04526472044461,479.383461030967,-379.51802162419176,482.99091085250001,0,2.6534330288541241e-14,0
153.14057711365086,-386.97494932369233,484.04914589170852,0,0,1.7842743273209722,-0.017313308426440813,7,7,-393.81604916395963,482.56612432224472,-380.13384948342502,485.53216746117232,5.6843418860808015e-14,1.4654943925052066e-14,5.6843418860808015e-14
156.08558821199031,-387.52112231560415,486.94268634613769,0,0,1.7289506017652945,-0.020350048588573172,7,7,-394.43375993012125,485.8402158429663,-380.60848470108704,488.04515684930908,2.8421709430404007e-14,2.886579864025407e-15,5.6843418860808015e-14
159.03059931032973,-387.89255135728342,489.86365704541447,0,0,1.6638157792534203,-0.023993065927426952,7,7,-394.86228902255527,489.21345947752394,-380.92281369201157,490.513854613305,0,8.8817841970012523e-16,0
161.97561040866918,-388.06008692356255,492.80326564478372,0,0,1.5926478041987706,-0.022589567004715785,7,7,-395.05841578533312,492.65031747543009,-381.06175806179198,492.95621381413736,0,1.9872992140790302e-14,0
164.9206215070086,-388.0317737257289,495.74768129133139,0,0,1.5314327762657947,-0.019085667220993138,7,7,-395.02635121407417,496.02315499158954,-381.03719623738363,495.47220759107324,0,1.1546319456101628e-14,0
