s_m,time_s,speed_m_s,steering_angle_rad,sideslip_rad,longitudinal_accel_m_s2,lateral_accel_m_s2,throttle,brake,curvature_1_m,grade,lateral_offset_m,path_heading_rad,path_curvature_1_m,position_x_m,position_y_m,utilization_fl,utilization_fr,utilization_rl,utilization_rr,fz_fl_n,fz_fr_n,fz_rl_n,fz_rr_n
0.0,-2.8509266713593596e-41,39.93662443105826,0.0024678044943623042,-0.002842456301314652,5.731646300515055,0.6949858192473245,0.999999930905963,2.5000002068509275e-09,-0.004312114198920351,0.0,-6.722430720960202,-0.02345355723240089,0.0004357458251607112,0.34428762203071706,-6.7136086295989825,0.07587398102244135,0.06880997439493687,0.9999998481153957,0.9347681772694046,3020.546914846346,3366.9539091274346,3772.5650636273886,4059.5766123988315
26.96884238332053,0.6362913145924786,43.548385694195915,-0.0020971713458039047,0.002723052203578218,5.642181231781005,-0.6424896027255707,0.9999998600917097,2.500000373384381e-09,-0.0011005612011636147,0.0,-6.999999631264832,-0.011112329318762689,-0.0003387832910787429,26.884851456972825,-6.641455527064848,0.06362783708227875,0.06963142769291848,0.9393731135834785,0.9999998184251122,3365.453398886187,3045.212487527661,4037.154276976126,3771.822336610028
53.93768476664106,1.2313154841492995,46.8746696753541,0.000998522168287441,-0.001424707974992042,5.553300769155431,0.3303488902626449,0.9999998351844178,2.5000004288955324e-09,-4.748010194395244e-06,0.0,-6.725924693404313,-0.012254340449209663,0.000150347569470615,53.76026229953355,-6.9109214941349375,0.034887571229972394,0.03329611731132818,0.9864835071866477,0.9551828753400036,3134.5106513195556,3299.168926309843,3824.7685969775875,3961.194325393015
80.90652714996159,1.797330850994949,48.7750787906224,0.028179423473353667,-0.041897730331576476,1.1643953111901335,6.856215329248255,0.3188367744903129,7.841002652719808e-09,0.0009116466978096031,0.0,-6.336783069301377,0.028572353604366267,0.0028819635885491005,80.80742507454487,-7.081307305239901,0.8840789473001182,0.5046832196188787,0.9999993703413508,0.5180909020246763,2076.3488849116175,5493.743713083795,1909.0532730483428,4740.496628956245
107.87536953328213,2.3561010796653488,48.86366340367839,0.02198147856110955,-0.23175578004700365,-0.8473251402036599,11.224956269911154,6.15084058688407e-05,4.064485113353369e-05,0.002574822293401229,0.0,-4.481855764363769,0.12812872420526472,0.004701242030740978,107.99282031646004,-5.079671716722395,1.0000000096984714,0.9522257757813667,1.0000000092144024,0.9947234282828148,1248.0226799023035,6842.961820686145,746.5176180231733,5382.140381388379
134.84421191660266,2.9292534770185576,46.558702859323155,0.00906588687645674,-0.015887712280745564,-7.200468921511233,3.1158650807112527,4.745311144027653e-09,0.5268358401393313,0.0005695974882953707,0.0,-1.0105741734247686,0.21308384529552932,0.0014373975480260939,134.8443187676709,0.04731814957414682,0.6589663886594778,0.4919699992682547,0.9999998277526331,0.5923587412834084,4091.465471397858,5644.529472564873,1598.4370801818966,2885.2104758553724
161.81305429992318,3.5422307457149382,42.154538535624276,0.009800204697040698,-0.014905388905259864,-7.204782181045813,3.035577478273237,4.660063168682171e-09,0.5364734130355324,0.0027353901246076474,0.0,3.1079547446404545,0.25342862373796654,0.0017082547740339693,161.2699307708307,6.557315580630541,0.6638494229027169,0.4992549113845754,0.9999999068515296,0.5995877519239375,4112.033060382702,5625.078709709518,1614.4570407218375,2868.073689185943
188.78189668324373,4.209946516894719,37.481060603726554,0.012184544549422168,-0.015992430924304257,-6.842000354635153,3.345516193341273,4.848099699472641e-09,0.5156659639120774,0.006058816820779635,0.0,6.402979160849027,0.30647021220047155,0.002381438623895047,186.74203614875776,14.159428935997331,0.6710689862174861,0.48918840770420474,0.9999999426935664,0.578127094566879,3987.823231210459,5655.3539588290005,1597.4259093615422,2979.0394005989983
215.75073906656425,4.946305195440217,32.92494685884977,0.01853796720053699,-0.021969050620614057,-5.58475169154132,4.488502575910149,5.950150983036195e-09,0.42015740471994567,0.007110428307090692,0.0,6.999999311713295,0.41902945598771785,0.004140485932062881,210.7011482483094,22.99542321114543,0.6940730519135676,0.45262433927514867,0.9999999651589218,0.5240175857859493,3540.200793546939,5777.438796227154,1524.1824896758112,3377.8204205500974
242.71958144988477,5.7869364179322496,28.885410853114745,0.027518920330003825,-0.028967099452840307,-4.0671936431107865,5.714608356810288,8.317840027860512e-09,0.3005587975332289,0.006198689108402007,0.0,5.400068321571387,0.5539065041482718,0.006849034812884666,233.87835113854354,34.61000024813617,0.7489515684817275,0.44187982259846015,0.9999999811625044,0.51418608838578,3038.162674693207,5886.537777540836,1467.4767350162974,3827.4653127496595
269.6884238332053,6.738454966447511,25.93296089895814,0.29347857280600753,-0.16477213889328285,-2.1566245752330806,11.070915466452636,5.2579710412971816e-05,4.754685753049015e-05,0.009747298829992104,0.0,4.101478646159517,0.8406283671560894,0.016461875931564087,254.55864808061975,50.397013904200485,1.0000000099956756,1.000000000559718,1.0000000038677817,0.9655697743182734,1455.9200525314336,6974.079480341419,608.8175779115672,5180.825389215582
296.65726621652584,7.693008440754863,24.28539241287842,0.17172290827520806,-0.18917133900001942,-1.2991143360328286,11.326046557469553,5.914233967389695e-05,4.227090124916718e-05,0.02642919638410316,0.0,6.9999997806459895,1.286059770234498,0.01920384056960983,265.1040300673714,71.98521229386098,1.0000000099938955,0.9981751799748698,1.0000000088222605,0.9848840720830212,1281.3196503313134,6926.645981320044,667.1531877348016,5344.523680613841
323.62610859984636,8.70326655031672,23.038495754479694,0.15604900743853717,-0.17945790202311782,-1.171071994466073,11.292797125352717,5.946838987071458e-05,4.203914054903871e-05,0.012528971933247141,0.0,3.510029856293099,1.7562806437151592,0.021276161943327623,268.32397892678387,96.06674122873629,1.0000000100033781,0.9922784316996259,1.0000000085897462,0.9798762281829848,1273.0291219495566,6901.782689117553,690.5956848801652,5354.235004052726
