s_m,time_s,speed_m_s,steering_angle_rad,sideslip_rad,longitudinal_accel_m_s2,lateral_accel_m_s2,throttle,brake,curvature_1_m,grade,lateral_offset_m,utilization_fl,path_heading_rad,path_curvature_1_m,position_x_m,position_y_m,utilization_fr,utilization_rl,utilization_rr,fz_fl_n,fz_fr_n,fz_rl_n,fz_rr_n
0.0,0.0,32.3689000108618,-0.021299979996063784,0.014623692364837473,3.842605781844085,-4.517999057707947,0.5696527832103009,4.388638286112467e-09,-0.004312114198920351,0.0,0.0,0.35340897178914,0.05123716740341881,-0.004312114198920351,0.0,0.0,0.5838575200886845,0.6267239713433786,0.9999999269018104,3777.3382933118264,1913.663682007298,3810.552142455087,2266.425882225788
10.787536953328212,0.3262290676804524,33.79664643004657,-0.011618519352240009,0.008511207885372931,4.914501833464237,-2.7719225906030385,0.7123689798879145,3.5094172567973203e-09,-0.002426799413502769,0.0,0.0,0.23577181698441602,0.01614812712526074,-0.002426799413502769,10.781307182907934,0.3453398846852462,0.334452359491461,0.75755207827174,0.9999999194901971,3302.3640164407084,2158.945947816955,3627.0179922147254,2679.6520435276107
21.575073906656424,0.6381891996738673,35.40023067545965,-0.00693791011827545,0.005538893671586479,5.371722208061771,-1.804284537408977,0.7771946795359939,3.2166972419034323e-09,-0.0014397690823831023,0.0,0.0,0.16289632845240967,-0.004228313529754859,-0.0014397690823831023,21.56860691989203,0.4001334496994448,0.20718656717929645,0.8372745834778053,0.9999999062733264,3053.8007706911258,2309.5333990099225,3510.650019643415,2893.9958106555364
32.362610859984635,0.936175992057965,37.03965793280938,-0.004025192808396534,0.003495345691443886,5.63727163525792,-1.126676018332646,0.8177019504069757,3.057348707535823e-09,-0.0008212305858245223,0.0,0.0,0.10660601385033822,-0.016207770062549944,-0.0008212305858245223,32.3554705450146,0.2839392927531485,0.12454054235722017,0.8960392100505654,0.9999998866392996,2885.592289289188,2420.8384317269715,3423.307883131043,3038.241395852797
43.15014781331285,1.2212672262674138,38.67338204157683,-0.0018688921146765446,0.001754310232031036,5.829128831260635,-0.5590448803670186,0.8489516173363205,2.9448086191763423e-09,-0.00037378542921583064,0.0,0.0,0.055198380958488176,-0.022550753211415232,-0.00037378542921583064,43.14087845137605,0.0705739635548142,0.05975340333224568,0.9473565423993316,0.9999998583465014,2747.962238940629,2517.356225789234,3346.863753520571,3155.7977817495653
53.93768476664106,1.4946139561824545,40.28900335651891,-2.420433703319404e-05,2.4405685783422922e-05,5.996861983860109,-0.007706988149440652,0.8773511145242961,2.8494863135719584e-09,-4.748010194395244e-06,0.0,0.0,0.0007955939280047797,-0.024550091015085478,-4.748010194395244e-06,53.925367776714026,-0.1870235797737363,0.0007964867628433866,0.9992588587835621,0.9999998159895187,2616.2773894636675,2613.098256852023,3270.6191938044008,3267.985159879908
64.72522171996927,1.7574494620674992,41.82559282488534,0.0018330725058065716,-0.0019628607198565245,5.699637804497955,0.5962062669677685,0.8438471288183708,2.962621925561848e-09,0.0003408099976228383,0.0,0.0,0.0635747993966965,-0.022736395036512057,0.0003408099976228383,64.70983023475728,-0.4453959863972421,0.058452057643893995,0.9999997284694402,0.9437216185919971,2523.5657283845453,2769.5008135087496,3135.5733796348095,3339.340078471895
75.51275867329748,2.011194090504444,43.224125958665496,0.004024423295144532,-0.004520331854817071,5.326498212656804,1.3201281926137387,0.8001054336088953,3.1245881992880697e-09,0.0007065837832085461,0.0,0.0,0.14612280621958898,-0.01712494758728876,0.0007065837832085461,75.49517676690174,-0.6639239099568255,0.12220489044648568,0.9999995506458842,0.8780913115606525,2414.2360732030443,2958.7889526562117,2971.8859604844797,3423.069013656264
86.3002956266257,2.2572645375783087,44.47207683577211,0.006938538002249801,-0.008081712080012569,4.818593634511553,2.257364037549106,0.7383922188227641,3.3857345260734917e-09,0.0011413708565389848,0.0,0.0,0.26154929033269875,-0.007246306497797092,0.0011413708565389848,86.28183185205565,-0.799578009862241,0.19576654486069653,0.9999990095547934,0.797234561546328,2275.349527843545,3206.512193332551,2757.3070570459654,3528.8112217779385
97.08783257995391,2.4970358293495893,45.522063250047225,0.011329423499276663,-0.013549856143789073,3.9408316970817525,3.561102490312603,0.6277067502930729,3.982751517472849e-09,0.0017184646282045757,0.0,0.0,0.4345429945238262,0.008005151969635653,0.0017184646282045757,97.069322759604,-0.8010608113231648,0.2857584860398717,0.9860932027981519,0.6820397326168227,2100.499393828552,3569.454171082501,2440.4703869214336,3657.556048167513
