schema_version,time_s,step,position_x_m,position_y_m,yaw_rad,yaw_rate_rad_s,vx_m_s,vy_m_s,speed_m_s,steering_angle_rad,throttle,brake,longitudinal_accel_m_s2,lateral_accel_m_s2,track_s_m,unwrapped_track_s_m,track_progress_fraction,lateral_error_m,heading_error_rad,reference_curvature_1_m,target_speed_m_s,speed_error_m_s,lap_number,lap_elapsed_time_s,sector_index,on_track,friction_utilization_fl,friction_utilization_fr,friction_utilization_rl,friction_utilization_rr
4,0,0,0,0,0,0,20,0,20,0,0,-0,-0.22949188053691275,0,0,0,0,0,0,0,20,0,0,0,0,1,0,0,0,0
4,0.0050000000000000001,1,0.099997131044410811,0,0,0,19.998852429861756,0,19.998852429861756,0,2.2425000000000003e-05,-0,-0.22947746863243942,0,0.099997131044410811,0.099997131044410811,0.00033332377014803606,0,0,0,20,0.0011475701382437364,0,0.0050000000000000001,0,1,0,0,2.5674224593863085e-05,2.5674224593863085e-05
4,0.01,2,0.19998852588344379,0,0,0,19.997705810378267,0,19.997705810378267,0,8.9400000000000005e-05,-0,-0.22911201977187792,0,0.19998852588344379,0.19998852588344379,0.0006666284196114793,0,0,0,20,0.0022941896217325564,0,0.01,0,1,0,0,0.0001022219422569469,0.0001022219422569469
4,0.014999999999999999,3,0.29997419364828243,0,0,0,19.996561890696981,0,19.996561890696981,0,0.00020047500000000001,-0,-0.22839795332855722,0,0.29997419364828243,0.29997419364828243,0.000999913978827608,0,0,0,20,0.0034381093030191323,0,0.014999999999999999,0,1,0,0,0.00022891887613553258,0.00022891887613553258
4,0.02,4,0.39995415218548969,0,0,0,19.995422407798205,0,19.995422407798205,0,0.00035519999999999996,-0,-0.22733771748752502,0,0.39995415218548969,0.39995415218548969,0.0013331805072849656,0,0,0,20,0.0045775922017945447,0,0.02,0,1,0,0,0.0004050285263325093,0.0004050285263325093
4,0.025000000000000001,5,0.49992842799579484,0,0,0,19.994289086340775,0,19.994289086340775,0,0.00055312500000000012,-0,-0.22593379330518651,0,0.49992842799579484,0.49992842799579484,0.0016664280933193162,0,0,0,20,0.0057109136592252696,0,0.025000000000000001,0,1,0,0,0.00062980645802961359,0.00062980645802961359
4,0.029999999999999999,6,0.59989705617205913,0,0,0,19.993163638488255,0,19.993163638488255,0,0.0007938,-0,-0.22418869841706643,0,0.59989705617205913,0.59989705617205913,0.0019996568539068639,0,0,0,20,0.0068363615117448262,0,0.029999999999999999,0,1,0,0,0.0009025043557236421,0.0009025043557236421
4,0.035000000000000003,7,0.69986008033632829,0,0,0,19.99204776371753,0,19.99204776371753,0,0.0010767750000000003,-0,-0.22210499039448348,0,0.69986008033632829,0.69986008033632829,0.0023328669344544277,0,0,0,20,0.0079522362824704373,0,0.035000000000000003,0,1,0,0,0.0012223738150967923,0.0012223738150967923
4,0.040000000000000001,8,0.7998175525758866,0,0,0,19.990943148611439,0,19.990943148611439,0,0.0014016,-0,-0.2196852697524859,0,0.7998175525758866,0.7998175525758866,0.0026660585085862888,0,0,0,20,0.009056851388560716,0,0.040000000000000001,0,1,0,0,0.0015886698497733841,0.0015886698497733841
4,0.044999999999999998,9,0.89976953337823873,0,0,0,19.989851466637276,0,19.989851466637276,0,0.0017678249999999998,-0,-0.21693218261286326,0,0.89976953337823873,0.89976953337823873,0.0029992317779274622,0,0,0,20,0.010148533362723811,0,0.044999999999999998,0,1,0,0,0.002000654095671287,0.002000654095671287
4,0.050000000000000003,10,0.99971609156495167,0,0,0,19.988774377912797,0,19.988774377912797,0,0.0021750000000000003,-0,-0.21384842302741963,0,0.99971609156495167,0.99971609156495167,0.0033323869718831721,0,0,0,20,0.01122562208720268,0,0.050000000000000003,0,1,0,0,0.0024575977007714501,0.0024575977007714501
4,0.055,11,1.0996573042242994,0,0,0,19.987713528961457,0,19.987713528961457,0,0.0026226750000000001,-0,-0.21043673496797344,0,1.0996573042242994,1.0996573042242994,0.0036655243474143315,0,0,0,20,0.012286471038542857,0,0.055,0,1,0,0,0.0029587838928549883,0.0029587838928549883
4,0.059999999999999998,12,1.1995932566426601,0,0,0,19.98667055245852,0,19.98667055245852,0,0.0031103999999999997,-0,-0.20669991399072737,0,1.1995932566426601,1.1995932566426601,0.003998644188808867,0,0,0,20,0.013329447541480022,0,0.059999999999999998,0,1,0,0,0.0035035102220618095,0.0035035102220618095
4,0.065000000000000002,13,1.2995240422346248,0,0,0,19.985647066969637,0,19.985647066969637,0,0.0036377250000000001,-0,-0.20264080858374103,0,1.2995240422346248,1.2995240422346248,0.0043317468074487494,0,0,0,20,0.014352933030362891,0,0.065000000000000002,0,1,0,0,0.0040910904789895168,0.0040910904789895168
4,0.070000000000000007,14,1.3994497624717821,0,0,0,19.984644676683462,0,19.984644676683462,0,0.0042042000000000008,-0,-0.19826232120722417,0,1.3994497624717821,1.3994497624717821,0.0046648325415726069,0,0,0,20,0.01535532331653755,0,0.070000000000000007,0,1,0,0,0.0047208562924706283,0.0047208562924706283
4,0.074999999999999997,15,1.499370526810156,0,0,0,19.983664971139802,0,19.983664971139802,0,0.0048093750000000003,-0,-0.19356740903726652,0,1.499370526810156,1.499370526810156,0.0049979017560338535,0,0,0,20,0.016335028860197554,0,0.074999999999999997,0,1,0,0,0.0053921584141447257,0.0053921584141447257
4,0.080000000000000002,16,1.5992864526162753,0,0,0,19.982709524954789,0,19.982709524954789,0,0.0054527999999999998,-0,-0.18855908442441707,0,1.5992864526162753,1.5992864526162753,0.0053309548420542507,0,0,0,20,0.017290475045211195,0,0.080000000000000002,0,1,0,0,0.0061043676994939041,0.0061043676994939041
4,0.085000000000000006,17,1.6991976650918641,0,0,0,19.981779897544417,0,19.981779897544417,0,0.0061340250000000004,-0,-0.18324041507923536,0,1.6991976650918641,1.6991976650918641,0.0056639922169728803,0,0,0,20,0.018220102455583032,0,0.085000000000000006,0,1,0,0,0.0068568757971555093,0.0068568757971555093
4,0.089999999999999997,18,1.7991042971971498,0,0,0,19.980877632847832,0,19.980877632847832,0,0.0068525999999999995,-0,-0.17761452399755168,0,1.7991042971971498,1.7991042971971498,0.0059970143239904995,0,0,0,20,0.019122367152167641,0,0.089999999999999997,0,1,0,0,0.0076490955600918399,0.0076490955600918399
4,0.095000000000000001,19,1.8990064895727887,0,0,0,19.980004259051615,0,19.980004259051615,0,0.0076080749999999997,-0,-0.17168458913870097,0,1.8990064895727887,1.8990064895727887,0.0063300216319092956,0,0,0,20,0.019995740948385077,0,0.095000000000000001,0,1,0,0,0.0084804611936121592,0.0084804611936121592
