s_m,time_s,speed_m_s,steering_angle_rad,sideslip_rad,longitudinal_accel_m_s2,lateral_accel_m_s2,throttle,brake,curvature_1_m,grade,lateral_offset_m,utilization_fl,utilization_fr,utilization_rl,utilization_rr,fz_fl_n,fz_fr_n,fz_rl_n,fz_rr_n
0.0,0.0,32.331415524122924,-0.023256088961705175,0.019055866655062915,3.828945630898176,-4.507541067734063,0.6763229402831448,3.6964589722465746e-09,-0.004312114198920351,0.0,0.0,0.35827237311831023,0.5900157437480807,0.6275759485930761,0.9999993734486795,4563.445945581281,2316.7184446325846,4600.489227898282,2738.988881887854
1.3484421191660265,0.04160190002701525,32.49498438243995,-0.02131352344687333,0.017570189419084146,4.034632694642024,-4.2124658641854,0.7086258542314297,3.5279548726840915e-09,-0.003989364598429288,0.0,0.0,0.338761471462537,0.5464824595811101,0.6481953048393798,0.9999993678667357,4463.278543408622,2363.627589228712,4566.189062282907,2826.5473050797596
2.696884238332053,0.08299044070188438,32.66562989994091,-0.01960849659147413,0.01628095749938473,4.211451128202672,-3.9455114758641243,0.736537431622351,3.3942606503245543e-09,-0.0036976111391504095,0.0,0.0,0.32094494373173504,0.5072028753661944,0.6674489884954776,0.9999993623336146,4373.856832242131,2407.2659559911067,4533.958032466085,2904.561679300679
4.045326357498079,0.12415965858014852,32.8421440755292,-0.01811178107565626,0.01515870228586296,4.3636671905986075,-3.70494777789404,0.7606990948332739,3.286450611650338e-09,-0.0034349394584617704,0.0,0.0,0.3047064628877514,0.47202525905650955,0.685228080198302,0.9999993564722042,4294.197304346319,2447.5123963022575,4503.991217737694,2973.9415816137316
5.393768476664106,0.16510517172452258,33.023551305923036,-0.0167753321200551,0.014160730335880656,4.497308899723484,-3.4848924606265843,0.7820313579440401,3.1968027669471155e-09,-0.003195522142052406,0.0,0.0,0.28966369586008506,0.4401144487469706,0.7018147365802733,0.9999993501638724,4222.053564832581,2485.052478989018,4475.854408645798,3036.6820475326044
6.742210595830133,0.20582386388156554,33.209062090181405,-0.015583053547628487,0.013272962316823993,4.614586879823723,-3.284350047315804,0.8008651722836247,3.1216240703457743e-09,-0.002978079025200944,0.0,0.0,0.2757694822127501,0.411310685408883,0.7171805492841166,0.999999343271613,4156.891325341593,2519.848098632622,4449.628248732374,3093.2748272934114
8.090652714996159,0.24631363982956275,33.39802279970676,-0.014503884156647445,0.012469104676066529,4.7192375693808195,-3.099113706990982,0.8177725916982326,3.057084640989416e-09,-0.0027784078488346953,0.0,0.0,0.26275703501566955,0.38497799676198613,0.7315746126250428,0.9999993358023028,4097.178429378249,2552.463941049932,4424.927815992117,3145.0723135797025
9.439094834162185,0.28657323528989753,33.589892319131636,-0.01352877303870758,0.0117421205315061,4.812457487040859,-2.9286602161584057,0.83293178131106,3.0014463137106873e-09,-0.002595683667412491,0.0,0.0,0.25061386930461815,0.3610026465420042,0.7449838907447177,0.9999993276927529,4042.629573405617,2582.8754969141614,4401.799977828516,3192.337451851706
10.787536953328212,0.32660206557708765,33.7842141392669,-0.012636546088831212,0.011074518421073869,4.896716389165743,-2.7698836303568526,0.8467219652851833,2.952563082914139e-09,-0.002426799413502769,0.0,0.0,0.23914300806918815,0.33890844475968873,0.7576124679026079,0.9999993189808335,3992.1509525842184,2611.537080578224,4379.923141269363,3236.031325568195
12.135979072494239,0.3664001046335232,33.98060427289583,-0.011821781903338196,0.01046257562623333,4.972703702469807,-2.622501747106759,0.8592452161473929,2.909530338879307e-09,-0.0022711906466166155,0.0,0.0,0.2283460755944592,0.31861785317721897,0.7694515301190302,0.9999993096284432,3945.5829806277256,2638.4297660542,4359.328291211936,3276.301462106139
13.484421191660266,0.40596778615853024,34.17873494135302,-0.011069235441898851,0.009893827598276856,5.042153626720917,-2.484119850271913,0.8707686813619606,2.8710265831399795e-09,-0.0021264764478690495,0.0,0.0,0.2180685184663069,0.2997669301893432,0.7806691699162515,0.9999992996776441,3902.104332439835,2663.925844569928,4339.745466021202,3313.866856969036
14.832863310826292,0.4453059233597652,34.3783266954588,-0.01037600179820914,0.009366698723845211,5.105426305662299,-2.3546902283383773,0.8813447860145911,2.8365743642844166e-09,-0.0019923439384829373,0.0,0.0,0.2083251655311079,0.28231757401800606,0.791249494759892,0.99999928909527,3861.656491664211,2687.9905809768015,4321.211439625947,3348.783987733041
16.181305429992317,0.48441564275922516,34.57913836800375,-0.00973057040000518,0.008871783435415517,5.163804903473977,-2.2322940782312974,0.8911718680812748,2.80529505181093e-09,-0.0018669086685505461,0.0,0.0,0.198988741663647,0.26598379814488293,0.8013336470644616,0.9999992779196131,3823.595132663022,2710.9360530446093,4303.496127413881,3381.615186878488
17.529747549158344,0.5232983291837497,34.7809630295995,-0.009131218461225757,0.00840843175153384,5.217492739079703,-2.1169617627571777,0.9002789813581675,2.7769169741453936e-09,-0.0017499667951161723,0.0,0.0,0.19007635400340628,0.2507449962368867,0.8109059254987676,0.9999992661195598,3787.9014998777147,2732.7283712534345,4286.6321214594445,3412.3805074094075
18.87818966832437,0.5619555798565825,34.983620553769704,-0.008569337160681693,0.007969598901159903,5.267434706315443,-2.0071951619415858,0.9088125689681075,2.750842276189047e-09,-0.0016400613491456756,0.0,0.0,0.1814859905883159,0.23638217713684423,0.8200800001928255,0.9999992537241571,3754.0799037153624,2753.6185651851033,4270.432408957009,3441.511622142525
20.226631787490398,0.600389166169138,35.186955300157216,-0.008043835509763874,0.0075550728881829355,5.313750827957721,-1.9030513106048568,0.9167894084674612,2.726907588623817e-09,-0.00153704690023142,0.0,0.0,0.17323387892906866,0.22288386737926721,0.8288418949927638,0.9999992407024972,3722.1290196595637,2773.5768820299554,4254.9243055380475,3469.012292772434
21.575073906656424,0.6386010013281688,35.390831168374355,-0.007548067884449612,0.0071593800115676235,5.35716139630213,-1.8033265134959882,0.9243214393557528,2.704686807852852e-09,-0.0014397690823831023,0.0,0.0,0.16523553761392828,0.21007801385646174,0.8372853828720209,0.9999992270751082,3691.6556121569283,2792.810053086271,4239.95251549743,3495.2243192593714
22.92351602582245,0.6765931132005136,35.5951299653661,-0.007081408089686289,0.006782614162079221,5.397728455325461,-1.7081060237585197,0.9314168641463358,2.6840828448726484e-09,-0.0013481358517916527,0.0,0.0,0.1575070663962618,0.19796109568300493,0.8453966280813678,0.9999992128092658,3662.672895410183,2811.288799193046,4225.542675009283,3520.138130387489
24.271958144988478,0.7143676211964809,35.79974805582537,-0.006638558632745536,0.006420360866282799,5.4360206553174155,-1.616392136260905,0.9381643083609743,2.66477845345392e-09,-0.0012612082077429014,0.0,0.0,0.1499760537808292,0.18639396800161226,0.8532552283693761,0.9999991979180798,3634.85860269,2829.1881472724554,4211.562390496697,3544.0333595408483
25.620400264154505,0.7519267167316628,36.00459518997596,-0.006219238806789919,0.006072932696761181,5.472058916214272,-1.5282960570171915,0.94456587297073,2.646718566534645e-09,-0.0011789397959529478,0.0,0.0,0.1426588521341346,0.17537961167081273,0.8608468071714314,0.999999182365814,3608.2377402355846,2846.477674316078,4198.03733297851,3566.889752469828
26.96884238332053,0.7892726465971303,36.209592027119655,-0.005819173912532393,0.005736718163570101,5.506298824170402,-1.4429838204852845,0.9506927519204874,2.62966137754006e-09,-0.0011005612011636147,0.0,0.0,0.13549288160663747,0.16480448132128458,0.8682392885076589,0.9999991661581795,3582.5434860609353,2863.306238037801,4184.854281262863,3588.9384946384025
28.317284502486558,0.826407698714748,36.41466967490138,-0.005438149244890168,0.005411999060461584,5.538752757981879,-1.3605435541606388,0.9565459868878335,2.6135701380880505e-09,-0.001026029150415931,0.0,0.0,0.12849109049570206,0.15467111941796421,0.8754214713950016,0.9999991492576628,3557.7962005783183,2879.6502728013747,4172.0330351740195,3610.162991446288
29.665726621652585,0.863334189986091,36.61976749374639,-0.005072839403442613,0.00509594188606649,5.569772814570358,-1.2803102880674817,0.9621807027736848,2.598264547959417e-09,-0.0009547376960576279,0.0,0.0,0.12160211951597327,0.14489073726806206,0.8824483887310757,0.9999991316607424,3533.7845768251195,2895.6299176164844,4159.48187080579,3630.746134752606
31.01416874081861,0.9000544559985266,36.824832884728906,-0.004723019990331256,0.004788738090711989,5.5993722885814226,-1.2023407804852022,0.9675983036728677,2.5837167960673924e-09,-0.0008866373216030636,0.0,0.0,0.11483503817871021,0.13546389665927733,0.8893124439293864,0.9999991133276147,3510.5210388469877,2911.229306073895,4147.214229206203,3650.6779258729152
32.362610859984635,0.9365708420974721,37.02981984698107,-0.00438598734613291,0.004488047030296227,5.627836277867835,-1.1260775860611256,0.9728435319647986,2.5697863281770594e-09,-0.0008212305858245223,0.0,0.0,0.10814526182826326,0.12631790085472788,0.8960606097821354,0.9999990942467494,3487.8297508200676,2926.5504540177253,4135.151914956067,3670.1103802061402
33.711052979150665,0.9728856958510665,37.2346885623324,-0.0040616390955412075,0.004194113775738462,5.655165207893925,-1.051584338244143,0.9779159080639181,2.556457046054561e-09,-0.0007584879017494533,0.0,0.0,0.1015414147565056,0.11745559925078637,0.9026853457171521,0.9999990743727154,3465.7265163105158,2941.5774477169507,4123.308122639528,3689.0304133330064
35.05949509831669,1.0090013605747465,37.43940446078032,-0.003747671650297451,0.0039048964185340374,5.681601737256157,-0.9783685238838811,0.9828536237433142,2.5436137640610923e-09,-0.0006979826193826392,0.0,0.0,0.09498252647118063,0.10881447014166873,0.9092289677884672,0.9999990536851955,3444.057176184773,2956.4016150614016,4111.612570147239,3707.5711386065864
36.40793721748272,1.0449201697462056,37.64393803658543,-0.0034440104289893128,0.0036206085304227517,5.707144065110665,-0.9064822867061422,0.9876559726956339,2.5312457685444656e-09,-0.0006396895002425405,0.0,0.0,0.08847528141727462,0.1003971793933755,0.9156854961350365,0.9999990321284522,3422.8349587819694,2971.0101940018767,4100.07579135357,3725.7215558625844
37.75637933664874,1.0806444422795174,37.84826386109522,-0.003148799525534692,0.003339579333215585,5.7319871942590135,-0.8355182625190468,0.9923537100213827,2.519263020417384e-09,-0.0005832624550055755,0.0,0.0,0.08198450597645986,0.09215319572578622,0.9220905317831749,0.9999990096522738,3401.9330954089933,2985.479461434656,4088.6389166078206,3743.591026548531
