schema_version,time_s,step,position_x_m,position_y_m,yaw_rad,yaw_rate_rad_s,vx_m_s,vy_m_s,speed_m_s,steering_angle_rad,throttle,brake,longitudinal_accel_m_s2,lateral_accel_m_s2,track_s_m,unwrapped_track_s_m,track_progress_fraction,lateral_error_m,heading_error_rad,reference_curvature_1_m,target_speed_m_s,speed_error_m_s,lap_number,lap_elapsed_time_s,sector_index,on_track,friction_utilization_fl,friction_utilization_fr,friction_utilization_rl,friction_utilization_rr
4,0,0,0,0,0,0,20,0,20,0.038124375544391312,0,-0,-0.33129284878209592,2.6689392423830789,0,0,0,0,0,0.014285714285714285,20,0,0,0,0,1,0.51158349751012455,0.51158349751012455,0,0
4,0.0050000000000000001,1,0.099995860173398052,3.3291260437285531e-05,3.1959417821502958e-05,0.01276011474845638,19.998344735159023,0.012664746263761526,19.998348745385467,0.039313161148498588,0.00033105296819542219,0,-0.33090489196536083,2.6538365716936605,0.09999583971161892,0.09999583971161892,0.00033331946570539639,-3.8131394607073876e-05,-0.0013965525780587674,0.014285714285714285,20,0.0016512546145328599,0,0.0050000000000000001,0,1,0.5121507326379503,0.50166353847396117,0.0012496555814677181,0.0012251082461919335
4,0.01,2,0.19998344546448157,0.00013294293522096896,0.00012735248264508775,0.02537111553325079,19.996693210593449,0.024003445336529105,19.996707617104924,0.040451366929168987,0.00066135788131020949,0,-0.33041654821318234,2.6458435583775151,0.19998328118772585,0.19998328118772585,0.00066661093729241945,-0.00015272401341356775,-0.0027295515343224242,0.014285714285714285,20,0.0032923828950757184,0,0.01,0,1,0.51284610368230499,0.49213858879731631,0.003337585789053622,0.003207554373553361
4,0.014999999999999999,3,0.29996276176303172,0.00029875363808685236,0.00028539942145675761,0.037819509011149513,19.995047198367796,0.03406651841875432,19.995076218725277,0.041539661718160738,0.00099056032644071488,0,-0.3298368604373953,2.6445890346909828,0.29996220592821038,0.29996220592821038,0.00099987401976070131,-0.0003439437147803446,-0.0039997749489462473,0.014285714285714285,20,0.004923781274722927,0,0.014999999999999999,0,1,0.51365761098264862,0.48302682821878717,0.0062552418102269245,0.0058937843517874412
4,0.02,4,0.39993381309831311,0.00053068993338718676,0.00050525580516093003,0.050092923950566366,19.993408166733815,0.042903822417606763,19.993454200302569,0.04257876172239939,0.0013183666532370353,0,-0.32917392515845123,2.6497036395062223,0.39993249353902921,0.39993249353902921,0.0013331083117967641,-0.00061178836808450921,-0.0052080655311109161,0.014285714285714285,20,0.0065457996974309651,0,0.02,0,1,0.51457434526101353,0.4743404536288548,0.0099789899317236589,0.0092203064743767195
4,0.025000000000000001,5,0.49989660142402409,0.0008288771138099621,0.00078601811901924767,0.062180093668481012,19.991777301080017,0.050564550616619158,19.991841246612513,0.043569426214777177,0.0016445397839966347,0,-0.32843492316764272,2.6608212877349287,0.49989402265171873,0.49989402265171873,0.0016663134088390624,-0.0009560970649825334,-0.0063553250617195906,0.014285714285714285,20,0.0081587533874873941,0,0.025000000000000001,0,1,0.51558644762439865,0.46608642748111528,0.014479469324649129,0.013123806562274878
4,0.029999999999999999,6,0.59985112637814952,0.0011935900600671223,0.0011267292239455773,0.074070830209627722,19.990155525044919,0.057097142744844363,19.990237067108371,0.044512453312883539,0.0019688949910161568,0,-0.32762615476507012,2.6775805290631296,0.59984667173923623,0.59984667173923623,0.0019994889057974542,-0.0013765592510689199,-0.0074425089437577963,0.014285714285714285,20,0.0097629328916291058,0,0.029999999999999999,0,1,0.51668507221224602,0.45826719863267779,0.019723939435849366,0.017543766628652997
4,0.035000000000000003,7,0.69979738502337674,0.0016252442163352068,0.0015263836713472652,0.085755991833594641,19.988543521587392,0.062549204612400724,19.988641387482815,0.045408675875924259,0.0022912956825216213,0,-0.3267530796461583,2.6996257907192009,0.69979031983494533,0.69979031983494533,0.0023326343994498179,-0.0018727237437349818,-0.0084706208977233816,0.014285714285714285,20,0.011358612517184952,0,0.035000000000000003,0,1,0.51786234959627941,0.45088137962013131,0.02567716855791723,0.022423368142086671
4,0.040000000000000001,8,0.79973537157342534,0.0021243867123454923,0.0019839328416350181,0.097227445215974428,19.986941753826404,0.066967437306972133,19.98705394270273,0.046258957543891456,0.0026116492347192377,0,-0.32582036115989033,2.726608500337627,0.79972484716160575,0.79972484716160575,0.0026657494905386859,-0.0024440076047392463,-0.0094407078321022062,0.014285714285714285,20,0.012946057297270386,0,0.040000000000000001,0,1,0.51911134938494052,0.44392437016337949,0.03230193405582088,0.027709822449066758
4,0.044999999999999998,9,0.89966507711027655,0.0026916876600389782,0.0024982898831497485,0.1084780236081696,19.985350485483288,0.070397575797154333,19.985474471382592,0.047064188937553125,0.0029299029033424519,0,-0.32483191441407916,2.7581880864875332,0.89965013567718566,0.89965013567718566,0.0029988337855906188,-0.0030897048390886609,-0.010353854912238617,0.014285714285714285,20,0.014525528617408412,0,0.044999999999999998,0,1,0.5204260408387078,0.43738892135794039,0.039559408641537931,0.033354446470397398
