s_m,x_m,y_m,heading_rad,curvature_1_m,left_width_m,right_width_m,left_x_m,left_y_m,right_x_m,right_y_m,projection_s_error_m,projection_lateral_error_m,projection_reconstruction_error_m
0,0,0,0.051237167403418812,-0.0043121141989203512,8,8,-0.40971801578526712,7.9895013078127084,0.40971801578526712,-7.9895013078127084,0,1.1102230246251565e-16,1.1123893155135927e-16
0.53937684766641059,0.53848507410771862,0.026993589139729234,0.048948498040589011,-0.0041785954087269848,8,8,0.14705344227936379,8.0174116806793823,0.92991670593607345,-7.9634245023999242,0,0,0
1.0787536953328212,1.077324140455125,0.052787574725913868,0.046729083104297034,-0.0040506606416764439,8,8,0.70362751138437085,8.044054735159305,1.4510207695258792,-7.9384795857074772,0,3.3306690738754696e-16,2.2204460492503131e-16
1.6181305429992319,1.6161348214267235,0.077400201111050906,0.0445775610685007,-0.0039280685551821336,8,8,1.2596324314100567,8.0694528814875017,1.9726372114433903,-7.9146524792653992,0,0,0
2.1575073906656423,2.1549307326240146,0.10086828361915383,0.042491047260056709,-0.0038105031170975918,8,8,1.8151046348065747,8.0936474137616958,2.4947568304414545,-7.8919108465233876,0,1.1102230246251565e-16,0
2.6968842383320535,2.6940204107575898,0.12323894830490548,0.040465738168821694,-0.0036976111391504095,8,8,2.370382847072078,8.1166899381697775,3.0176579744431016,-7.8702120415599666,0,0,0
3.2362610859984637,3.2328245935935707,0.1445212696658652,0.038501307209438063,-0.0035892452363308134,8,8,2.9248902268622157,8.1385925994568211,3.5407589603249257,-7.8495500601250914,4.4408920985006262e-16,2.2204460492503131e-16,2.2204460492503131e-16
3.7756379336648744,3.771825395387451,0.16476637075816924,0.036593619044796306,-0.0034850574632720927,8,8,3.4791417749979194,8.1594105966356203,4.0645090157769825,-7.8298778551192818,4.4408920985006262e-16,1.1102230246251565e-16,1.1102230246251565e-16
4.3150147813312847,4.3110137227615919,0.18400336854929211,0.034740535179134738,-0.0033848214536514477,8,8,4.0331453426458621,8.1791762349313473,4.5888821028773217,-7.811169497832763,0,1.1102230246251565e-16,2.2204460492503131e-16
4.8543916289976963,4.8499159979887771,0.20224501387682448,0.032941560329942526,-0.0032884076152664035,8,8,4.5864311746506345,8.1979048207889758,5.1134008213269198,-7.7934147930353275,1.7763568394002505e-15,2.2204460492503131e-16,8.9509041826236192e-16
5.393768476664107,5.3890418472770412,0.21953698599429206,0.031192990088227641,-0.003195522142052406,8,8,5.1395383924177196,8.2156452910395181,5.6385453021363627,-7.7765713190509347,8.8817841970012523e-16,0,0
5.9331453243305168,5.928305389392345,0.23590277992032133,0.029493266236268384,-0.0031059947913696924,8,8,5.6923934644129544,8.2324236211144797,6.1642173143717356,-7.7606180612738367,0,2.2204460492503131e-16,2.2204460492503131e-16
6.4725221719969275,6.4673082770717816,0.25135681680137556,0.027841840104006196,-0.0030197144035168737,8,8,6.2446023312646899,8.2482563448498656,6.6900142228788733,-7.7455427112471149,0,2.2204460492503131e-16,0
7.0118990196633382,7.0064997531872271,0.26593740689798967,0.026235631059527149,-0.0029364436468850147,8,8,6.7966387814871654,8.2631843314687892,7.2163607248872887,-7.7313095176728091,8.8817841970012523e-16,0,0
7.5512758673297489,7.5458641513639657,0.27966760642584404,0.024673123196215591,-0.0028560336383358937,8,8,7.3484991919642715,8.2772326779211145,7.7432291107636599,-7.7178974650694272,8.8817841970012523e-16,1.1102230246251565e-16,0
8.0906527149961587,8.0849389307697592,0.2925594121424126,0.023154116076266881,-0.0027784078488346953,8,8,7.8997225526822978,8.2904150555813576,8.2701553088572215,-7.7052962312965319,0,0,0
8.6300295626625694,8.6241525260797314,0.3046461037386789,0.02167593480109431,-0.0027033678499239077,8,8,8.4507586264913126,8.3027667927246558,8.7975464256681501,-7.6934745852472979,0,2.2204460492503131e-16,2.2204460492503131e-16
9.1694064103289801,9.1635128610702186,0.31594914243579442,0.020237211640440587,-0.0026307872683143355,8,8,9.0016262184450451,8.3143110194040748,9.3253995036953921,-7.6824127345324857,0,0,0
9.7087832579953925,9.7027726252283628,0.32648443683161316,0.018837300049459077,-0.0025605800665106462,8,8,9.552083137075245,8.3250651033098944,9.8534621133814806,-7.6720962296466677,0,2.2204460492503131e-16,2.2204460492503131e-16
10.248160105661801,10.241977161074598,0.33627369485605518,0.017474817860477967,-0.0024926268509831129,8,8,10.102185733111719,8.3350522489021728,10.381768589037476,-7.6625048591900633,0,2.2204460492503131e-16,2.2204460492503131e-16
10.787536953328214,10.781307182907936,0.34533988468524623,0.016148127125260738,-0.0024267994135027688,8,8,10.652127780256757,8.3442968593120437,10.910486585559115,-7.6536170899415517,0,2.2204460492503131e-16,0
11.326913800994623,11.320751879457426,0.35370155216765059,0.014856145332810983,-0.0023630007317002768,8,8,11.201907088515174,8.3528187481878398,11.439596670399677,-7.6454156438525382,0,1.1102230246251565e-16,2.2204460492503131e-16
11.866290648661034,11.859966381939223,0.36137217911183439,0.013598607321197364,-0.0023011769390625996,8,8,11.751180876249723,8.3606325020261902,11.968751887628724,-7.6378881438025212,0,1.1102230246251565e-16,2.2204460492503131e-16
12.405667496327446,12.399248397138061,0.36837433790748192,0.012373773325104183,-0.0022412043541706309,8,8,12.300260736586861,8.3677619046564882,12.498236057689262,-7.6310132288415247,0,1.1102230246251565e-16,2.2204460492503131e-16
12.945044343993855,12.938629353151068,0.37472561133688265,0.011180603648240894,-0.0021829966118729837,8,8,12.849186387475358,8.3742255929539287,13.028072318826778,-7.6247743702801642,0,2.2204460492503131e-16,0
13.484421191660266,13.478100481110515,0.38044252436853071,0.010018194734383801,-0.0021264764478690495,8,8,13.397956263853194,8.3800410708232338,13.558244698367835,-7.6191560220861732,0,0,0
14.023798039326676,14.017345368341067,0.38553842755701223,0.008886319285478091,-0.0020716015867189509,8,8,13.946255749684276,8.3852225629538104,14.088434986997857,-7.6141457078397865,0,0,0
14.563174886993087,14.556654365908622,0.39003232975859681,0.0077834965456836554,-0.00201827100212644,8,8,14.494387022269461,8.389789999708114,14.618921709547784,-7.6097253401909208,3.5527136788005009e-15,2.2204460492503131e-16,2.2204460492503131e-16
15.102551734659498,15.096042015202437,0.39393964746715215,0.0067088878330495219,-0.0019664168748394347,8,8,15.042371315152486,8.3937596114386004,15.149712715252388,-7.6058803165042965,0,0,0
