schema_version,time_s,step,fz_fl_n,fx_fl_n,fy_fl_n,slip_angle_fl_rad,force_capacity_fl_n,tire_saturated_fl,fz_fr_n,fx_fr_n,fy_fr_n,slip_angle_fr_rad,force_capacity_fr_n,tire_saturated_fr,fz_rl_n,fx_rl_n,fy_rl_n,slip_angle_rl_rad,force_capacity_rl_n,tire_saturated_rl,fz_rr_n,fx_rr_n,fy_rr_n,slip_angle_rr_rad,force_capacity_rr_n,tire_saturated_rr
1,49.070000000006651,9814,4732.2578112160245,0,-2055.6021641592638,-0.038887749127863309,6244.0139105491089,0,2345.4017524976061,0,-1826.1891964851213,-0.03896546896712183,3273.4129982123131,0,4559.7925971864888,2438.8853056966627,-1577.407114184221,-0.0267495068176275,6034.3489263744959,0,2582.1903390998814,2438.8853056966627,-1486.3933139935168,-0.027055435813217635,3576.2685927677712,0
1,49.075000000006654,9815,4733.9461023941931,0,-2058.0041063285153,-0.038938015961231073,6246.0632997661542,0,2343.7970892135327,0,-1827.6670228142455,-0.039016350346217678,3271.3525239766282,0,4561.114953097217,2438.8853056966627,-1580.549932410875,-0.026807864378343444,6035.9588915442109,0,2580.784355295059,2438.8853056966627,-1488.952238481854,-0.027114585848152125,3574.4770817524109,0
1,49.080000000006656,9816,4625.41353809672,0,-1702.8967365565643,-0.031509280239276995,6114.1974377175356,0,2443.326021574986,0,-1565.2580580230228,-0.031588232410840716,3398.9427025654049,0,4479.4232836829324,2442.115796516297,-1580.9917010361241,-0.026865916621734549,5936.4289147622103,0,2671.4796566453624,2442.115796516297,-1499.7423706055702,-0.027173414783625009,3689.8835347173226,0
1,49.085000000006659,9817,4629.136758323637,0,-1712.5710100987071,-0.031706846587220908,6118.7251775565755,0,2439.7406281127746,0,-1572.7540179423856,-0.031787461094154555,3394.3537604735789,0,4482.3821043950402,2442.115796516297,-1583.4204116339815,-0.026909980738262392,5940.0363469336507,0,2668.3830091685486,2442.115796516297,-1501.4100815422039,-0.027215599727408311,3685.9483916443414,0
1,49.090000000006661,9818,4632.5757566864249,0,-1721.7211787286733,-0.03189397469471654,6122.9070215788406,0,2436.4353218727742,0,-1579.8315909587743,-0.031976110776330252,3390.1228238414551,0,4485.1092165120172,2442.115796516297,-1585.4623843067134,-0.026946883686375808,5943.3611083067026,0,2665.5222049287854,2442.115796516297,-1502.7651084072447,-0.027250586374381432,3682.3126276624484,0
1,49.095000000006664,9819,4635.7433187630195,0,-1730.367119645399,-0.032071036010069123,6126.7585776193309,0,2433.3974892433394,0,-1586.5096319532834,-0.032154560835753541,3386.233860182982,0,4487.615056154571,2442.115796516297,-1587.1364614748568,-0.026976972129417718,5946.4159625542834,0,2662.8866358390705,2442.115796516297,-1503.8237770741148,-0.027278726924367419,3678.9628362285321,0
1,49.100000000006666,9820,4616.7872966055829,0,-1670.1137857913534,-0.030838558839221909,6103.7061028505641,0,2450.1961536838799,0,-1539.4332412642043,-0.030923347133322173,3407.73427461762,0,4473.8816669171947,2444.7592537143237,-1587.9291809545243,-0.027000581383826591,5929.6719915312306,0,2678.7773827933433,2444.7592537143237,-1506.2066141388484,-0.027300361888471146,3699.1558622886241,0
1,49.105000000006669,9821,4619.8727517232437,0,-1679.2729875844827,-0.031025184449238644,6107.4588491136947,0,2447.2412142499493,0,-1546.6516629981684,-0.031111296411228843,3403.9531391370774,0,4476.3187589471045,2444.7592537143237,-1588.7900937670677,-0.02701533853149634,5932.6436334288464,0,2676.2097750797038,2444.7592537143237,-1506.5445762162058,-0.027312605640714568,3695.8937480763666,0
1,49.110000000006671,9822,4622.663053968181,0,-1687.8708084370869,-0.031200634027718964,6110.852437161856,0,2444.5772562206739,0,-1553.422296326685,-0.03128792731194837,3400.5440299002908,0,4478.5151192888898,2444.7592537143237,-1589.2639812644948,-0.027022923284071951,5935.3216308528717,0,2673.8870705222557,2444.7592537143237,-1506.5733412607947,-0.027317658759228057,3692.942564633604,0
1,49.115000000006674,9823,4625.1721305810133,0,-1695.9296690393071,-0.031365328346599129,6113.9038564019129,0,2442.1905332775495,0,-1559.7659427652413,-0.031453669530250618,3397.4894503698624,0,4480.4821217867684,2444.7592537143237,-1589.3711152219387,-0.027023712712418581,5937.7198856585856,0,2671.7977143546696,2444.7592537143237,-1506.3099319295573,-0.027315903808720659,3690.2876939209914,0
