schema_version,time_s,step,position_x_m,position_y_m,yaw_rad,yaw_rate_rad_s,vx_m_s,vy_m_s,speed_m_s,steering_angle_rad,throttle,brake,longitudinal_accel_m_s2,lateral_accel_m_s2,track_s_m,unwrapped_track_s_m,track_progress_fraction,lateral_error_m,heading_error_rad,reference_curvature_1_m,target_speed_m_s,speed_error_m_s,lap_number,lap_elapsed_time_s,sector_index,on_track,friction_utilization_fl,friction_utilization_fr,friction_utilization_rl,friction_utilization_rr
4,0,0,0,0,0.051237167403418812,-0.088685854308048206,20.566675699417466,0,20.566675699417466,-0.012073333098140635,1,0,6.0746381104415308,-1.1188740798039405,0,0,0,0,0,-0.0043121141989203512,29.380965284882098,8.8142895854646319,0,0,0,1,0.084155977613300723,0.098048525584935917,0.80933996687233045,0.90118353669159601
4,0.0050000000000000001,1,0.10277497777194991,0.0052563872960520296,0.050795416123734054,-0.088017971416690169,20.597046688752776,0.0034327647613591355,20.597046974810141,-0.012073333098140635,1,0,6.0740649057706566,-1.1445860294680703,0.10308617304406731,0.10308617304406731,9.5560435612007579e-05,8.6816208263828885e-06,6.6892911229632368e-07,-0.0042861766777858527,29.393220610249859,8.7961736354397182,0,0.0050000000000000001,0,1,0.086619259143366031,0.10131328299527874,0.8085217054086099,0.90250483995300901
4,0.01,2,0.20570306399489802,0.01049191004490993,0.050356954686580607,-0.087369887067625662,20.627413376777337,0.0066863424257137816,20.627414460460809,-0.012073333098140635,1,0,6.0735014528431028,-1.1688051664888299,0.20619341634281099,0.20619341634281099,0.0001911404032587767,3.4210864072188366e-05,2.6165352470033931e-06,-0.0042604177657649782,29.40547844053966,8.7780639800788514,0,0.01,0,1,0.088951513844993321,0.10442131119216144,0.80775337888917209,0.90375344736565566
4,0.014999999999999999,3,0.30878426592521513,0.015705895521094023,0.049921684574212671,-0.086741407220832831,20.657775908095488,0.0097698176761204479,20.657778218347389,-0.012073333098140635,1,0,6.0729472263668995,-1.1916152637965538,0.30932185961881697,0.30932185961881697,0.00028674002319258225,7.5842503435561031e-05,5.7546827208002083e-06,-0.0042348358621541017,29.417738791173473,8.7599605728260848,0,0.014999999999999999,0,1,0.091160182921240784,0.10737948643559055,0.80703178430670797,0.90493287217948104
4,0.02,4,0.41201858880158759,0.020897706680595821,0.049489508297794707,-0.08613231475451999,20.688134418321383,0.012691855600766633,20.688138311451137,-0.011800332313921729,1,0,6.0728133864917471,-1.1920439063752111,0.41261304515852604,0.41261304515852604,0.00038249050449947711,0.00013286717885614317,9.9961878322271658e-06,-0.0042094293828195805,29.430018489303986,8.741880177852849,0,0.02,0,1,0.090086242873450934,0.10614430484085072,0.80711094338485057,0.90505921679324342
4,0.025000000000000001,5,0.51540602826378579,0.026067000292147875,0.049060517768766521,-0.085467573359024079,20.71849106057255,0.015560322869726844,20.718496903749376,-0.011800332313921729,1,0,6.072270901383825,-1.212958003957245,0.51626717491642926,0.51626717491642926,0.0004785774335235519,0.00020486958792382634,1.5443211705871984e-05,-0.0041841967587911812,29.442341335796232,8.7238444320468567,0,0.025000000000000001,0,1,0.092187558959772209,0.10895832724860188,0.80644699227076788,0.90613917880171857
4,0.030000000000000002,6,0.61894657880815396,0.031213453853187342,0.048634796098831215,-0.084824709216194671,20.748843869936167,0.018272670870006006,20.748851915937141,-0.011800332313921729,1,0,6.0717367469974528,-1.2326028620578393,0.61994300971670102,0.61994300971670102,0.00057468448302782759,0.00029145532318540051,2.2189037480503659e-05,-0.0041591364374372703,29.454666762676794,8.7058148467396528,0,0.030000000000000002,0,1,0.094175309841076235,0.11163099769279486,0.80582437609506852,0.90715568202027586
4,0.035000000000000003,7,0.72264024124428106,0.036336510839425226,0.048212234841257008,-0.084203344501816824,20.779192967225672,0.020837112650657425,20.779203414819936,-0.011800332313921729,1,0,6.0712104609324111,-1.2510517524669404,0.72364068256964986,0.72364068256964986,0.00067081177631228366,0.00039199605659603952,3.0135292115443524e-05,-0.0041342468834324872,29.466994785758509,8.687791370938573,0,0.035000000000000003,0,1,0.096055931265388722,0.11416888353282247,0.80524047220925421,0.90811203451376687
4,0.040000000000000001,8,0.82648701476635644,0.041435645087965468,0.047792727467175264,-0.083603090168600597,20.809538465381426,0.023261475038516957,20.809551466535989,-0.011562239473152445,1,0,6.0710529125126138,-1.2500930235850922,0.82764282000174538,0.82764282000174538,0.00076722130694198713,0.00050589398782482995,3.9185445289274812e-05,-0.0041095265772862662,29.479359004892224,8.6698075383562347,0,0.040000000000000001,0,1,0.095099864007386445,0.1130386528916436,0.80534691448069562,0.90814834682446588
4,0.044999999999999998,9,0.93048689079154745,0.046510584996338061,0.047376332940267316,-0.082958571487978708,20.839882250189621,0.025639714801333355,20.839898022704993,-0.011562239473152445,1,0,6.070536331413642,-1.2669417875235887,0.93186457891796237,0.93186457891796237,0.00086383442573557988,0.0006328060825399578,4.9408402554844411e-05,-0.0040849740141286235,29.491749333567753,8.6518513108627602,0,0.044999999999999998,0,1,0.096884599699379112,0.11544381083493806,0.80481042434791272,0.90901889198401054
