s_m,x_m,y_m,elevation_m,grade,heading_rad,curvature_1_m,left_width_m,right_width_m,left_x_m,left_y_m,right_x_m,right_y_m,projection_s_error_m,projection_lateral_error_m,projection_reconstruction_error_m
0,60,0,0,0,1.5707963267948966,0.016787339035079334,7,7,53,0,67,0,0,0,0
0.18849533950406744,59.999701904840528,0.18849496085598352,0,0,1.57395851464051,0.016764820565984394,7,7,52.999736902823265,0.16635968282676722,66.999666906857797,0.21063023888519983,0,3.3306690738754696e-16,0
0.37699067900813488,59.998808146464391,0.37698807902228504,0,0,1.5771166019115201,0.016743822239760741,7,7,52.998947956570412,0.33274644775242379,66.998668336358378,0.42122971029214629,0,1.1102230246251565e-15,0
0.56548601851220226,59.997319479563899,0.56547747024137485,0,0,1.5802708743991429,0.016724337592594125,7,7,52.997633661896685,0.49915662925977611,66.997005297231112,0.63179831122297359,0,4.4408920985006262e-16,0
0.75398135801626975,59.995236611027096,0.7539612571502109,0,0,1.5834216167278172,0.016706360632398606,7,7,52.995794496427173,0.66558657545388267,66.994678725627026,0.84233593884653912,0,1.5543122344752192e-15,0
0.94247669752033725,59.992560200108784,0.94243756857654315,0,0,1.5865691124430665,0.016689885835678649,7,7,52.993430914742,0.83203264694240642,66.991689485475575,1.0528424902106799,0,1.1102230246251565e-15,0
1.1309720370244045,59.989290860524548,1.1309044366432293,0,0,1.5897136423943741,0.01667490815235214,7,7,52.990543350075264,0.99849112545447349,66.988038370973825,1.263317747831985,0,2.2204460492503131e-15,2.2204460492503131e-16
1.3194673765284719,59.985429154995806,1.319360122917383,0,0,1.5928554902753216,0.016661422976964182,7,7,52.98713220936142,1.1649585014090875,66.983726100630193,1.4737617444256785,0,1.7763568394002505e-15,0
1.5079627160325395,59.980975600578581,1.5078027717615632,0,0,1.5959949369342985,0.016649426175814878,7,7,52.98319787782026,1.3314311672801169,66.978753323336903,1.6841743762430095,0,3.1086244689504383e-15,0
1.6964580555366069,59.975930667300297,1.6962305295682203,0,0,1.5991322624641138,0.016638914073776483,7,7,52.978740717646922,1.4979055223960391,66.973120616953665,1.8945555367404014,0,1.4432899320127035e-15,0
1.8849533950406745,59.970294778255145,1.8846415455111047,0,0,1.6022677463114643,0.016629883452246644,7,7,52.973761068004372,1.6643779731153203,66.966828488505925,2.1049051179068892,0,2.886579864025407e-15,0
2.0734487345447419,59.964068310955369,2.0730339349404177,0,0,1.6054016667646187,0.016622331548759521,7,7,52.968259246140065,1.8308448999944669,66.959877375770674,2.3152229698863684,0,1.5543122344752192e-15,4.4408920985006262e-16
2.261944074048809,59.957251593711696,2.261405892071207,0,0,1.6085343029241399,0.016616256050916323,7,7,52.962235544124638,1.9973027568767927,66.952267643298754,2.5255090272656213,0,2.55351295663786e-15,0
2.4504394135528766,59.949844908766352,2.4497555851158044,0,0,1.6116659330537229,0.016611655100341023,7,7,52.955690231571261,2.163747977751826,66.943999585961436,2.7357631924797827,4.4408920985006262e-16,1.5543122344752192e-15,0
2.6389347530569438,59.941848492264626,2.6380811675282065,0,0,1.6147968348635995,0.016608527290503914,7,7,52.948623555576077,2.3301769862031074,66.935073428953174,2.9459853488533057,0,1.6653345369377348e-15,0
2.8274300925610114,59.933262533851604,2.8263807922183943,0,0,1.6179272858425378,0.016606871665328794,7,7,52.94103574034142,2.4965862074867871,66.925489327361788,3.1561753769500016,0,0,0
3.015925432065079,59.924087176656144,3.0146526122964974,0,0,1.621057563365583,0.016606687718695164,7,7,52.932926987155241,2.6629720687093572,66.915247366157047,3.3663331558836376,4.4408920985006262e-16,2.4424906541753444e-15,0
3.2044207715691462,59.914322516676528,3.2028947923222226,0,0,1.62418794497648,0.016607975394355459,7,7,52.924297473855894,2.8293310082901626,66.904347559497168,3.5764585763542827,0,1.5543122344752192e-15,0
3.3929161110732138,59.903968603970682,3.3911054835113075,0,0,1.6273187080708484,0.016610735085978046,7,7,52.91514735590571,2.9956594535710077,66.892789852035662,3.7865515134516072,4.4408920985006262e-16,1.1102230246251565e-16,0
3.5814114505772814,59.893025442436866,3.5792828299790282,0,0,1.6304501300952627,0.016614967637113398,7,7,52.905476766233058,3.161953825855937,66.880574118640681,3.9966118341021195,8.8817841970012523e-16,2.4424906541753444e-15,0
3.769906790081349,59.88149298964202,3.7674249719916264,0,0,1.6335824886966823,0.016620674341617875,7,7,52.895285815130478,3.3282105428075881,66.867700164153561,4.2066394011756643,0,1.1102230246251565e-15,4.4408920985006262e-16
3.9584021295854157,59.86937115680815,3.9555300455480622,0,0,1.636716061811011,0.016627856944343284,7,7,52.88457459030667,3.4944260176008326,66.854167723309629,4.4166340734952918,0,1.3322676295501878e-15,0
4.1468974690894838,59.856659804296655,4.1435962468349636,0,0,1.6398511288336983,0.016636517645317799,7,7,52.873343152974826,3.6605967153949566,66.839976455618483,4.6265957782749707,8.8817841970012523e-16,1.7763568394002505e-15,8.8817841970012523e-16
4.3353928085935509,59.843358753302859,4.3316216553496494,0,0,1.6429879677681327,0.016646659093279313,7,7,52.861591548278398,3.826718996567902,66.82512595832732,4.8365243141313972,0,5.5511151231257827e-16,0
4.5238881480976181,59.829467775784479,4.5196043894427618,0,0,1.6461268579128174,0.016658284392971907,7,7,52.849319796498179,3.9927892536832368,66.80961575507078,5.0464195252022872,8.8817841970012523e-16,5.5511151231257827e-16,0
4.7123834876016852,59.814986597275727,4.7075425602679566,0,0,1.6492680791910228,0.016671397105220646,7,7,52.836527895660055,4.1588038703212158,66.793445298891399,5.2562812502146974,0,1.5543122344752192e-15,0
4.9008788271057533,59.799914896839056,4.8954342710955299,0,0,1.6524119122362901,0.016686001248799084,7,7,52.823215821627898,4.324759219995757,66.776613972050214,5.4661093221953028,1.7763568394002505e-15,1.5543122344752192e-15,1.7763568394002505e-15
5.0893741666098204,59.784252299083775,5.0832777098714086,0,0,1.6555586400413747,0.016702101310901885,7,7,52.809383521205419,4.4906517474147432,66.759121076962131,5.675903672328074,0,2.1094237467877974e-15,0
5.2778695061138876,59.767998392994706,5.2710709173345691,0,0,1.6587085441745226,0.016719702230639798,7,7,52.795030928930885,4.6564777632014014,66.740965857058526,5.8856640714677368,8.8817841970012523e-16,2.1094237467877974e-15,0
5.4663648456179557,59.751152719745988,5.458811942859052,0,0,1.6618619074825098,0.016738809412661749,7,7,52.780157956491969,4.8222335810802308,66.722147483000015,6.0953903046378732,0,6.6613381477509392e-16,0
5.6548601851220228,59.733714771575556,5.6464988516090937,0,0,1.6650190143118311,0.016759428731621492,7,7,52.764764491927494,4.9879155237050634,66.702665051223619,6.305082179513124,0,3.5527136788005009e-15,0
5.84335552462609,59.715683993849282,5.8341296973819547,0,0,1.6681801501537399,0.016781566533093619,7,7,52.748850401660491,5.1535198981946024,66.682517586038074,6.5147394965693071,8.8817841970012523e-16,7.7715611723760958e-16,0
6.031850864130158,59.697059897956123,6.0217025606370864,0,0,1.6713431337232743,0.016770307406959572,7,7,52.732413909482474,5.3190602225746142,66.661705886429772,6.7243448986995586,8.8817841970012523e-16,2.2204460492503131e-15,0
6.2203462036342252,59.67784295081993,6.2092156529979263,0,0,1.674502219297493,0.016748929669499944,7,7,52.715451418861804,5.4845749449792676,66.640234482778055,6.9338563610165851,0,0,0
6.4088415431382924,59.658034095707308,6.3966671751976083,0,0,1.6776574187533502,0.016729067182698433,7,7,52.697963602185602,5.6500623766538904,66.61810458922902,7.1432719737413262,8.8817841970012523e-16,3.1086244689504383e-15,8.8817841970012523e-16
6.5973368826423604,59.637634232155804,6.5840553277206251,0,0,1.6808090169987202,0.016710713836840755,7,7,52.679951298782257,5.8155189273839563,66.595317165529352,7.3525917280572939,8.8817841970012523e-16,2.886579864025407e-15,0
