sweep,value,lap_time_s,minimum_speed_mps,peak_utilization,rms_lateral_error_m
mu,0.9,56.28000000001034,11.230304470015595,1.0000000000000004,0.4800119875544057
mu,1.05,53.23000000000878,12.088901593091892,1.0000000000000004,0.47840947930526845
mu,1.2,50.935000000007605,12.865742484276646,1.0000000000000004,0.5164957160359549
mu,1.35,49.07000000000665,13.580501709963448,1.0000000000000004,0.5607993769225595
mass_kg,1200.0,50.67000000000747,12.745868553068387,1.0000000000000004,0.3601397223859908
mass_kg,1450.0,50.935000000007605,12.865742484276646,1.0000000000000004,0.5164957160359549
mass_kg,1700.0,51.23500000000776,12.947714434045857,1.0000000000000004,0.6746750012869597
