schema_version,time_s,step,position_x_m,position_y_m,yaw_rad,yaw_rate_rad_s,vx_m_s,vy_m_s,speed_m_s,steering_angle_rad,throttle,brake,front_slip_angle_rad,rear_slip_angle_rad,front_lateral_force_n,rear_lateral_force_n,longitudinal_accel_m_s2,lateral_accel_m_s2,yaw_accel_rad_s2,body_longitudinal_force_n,body_lateral_force_n,yaw_moment_nm,front_normal_load_n,rear_normal_load_n,drive_force_n,brake_force_n,drag_force_n,rolling_resistance_n,downforce_n,traction_limit_n
2,0,0,0,0,0,0,20,0,20,0.025000000000000001,0,0,0.025000000000000001,-0,3000,-0,-0.051718750168370346,2.0683189991911091,1.4995312744135538,-74.992187744136999,2999.062548827108,3748.8281860338848,7871.5878125000008,6348.0546875,0,-0,-0,-0,0,17063.571
2,0.0050000000000000001,1,0.099999361772263817,2.5547642940672725e-05,1.8478440063050986e-05,0.0073386577687222614,19.999746496260215,0.0097899952542195388,19.99974889239062,0.025000000000000001,0,0,0.024051822392562022,7.9247218672421434e-05,2886.2186871074427,10.302138427414786,-0.049757207736597232,1.9969785718416369,1.4362710695464822,-72.147951218065984,2895.6189291703736,3590.6776738662056,7871.5878125000008,6348.0546875,0,-0,-0,-0,0,17063.571
2,0.01,2,0.1999974782413228,0.00010103746424896683,7.2867874250002733e-05,0.01436608370138372,19.999503101808692,0.018526655048903315,19.99951168294373,0.025000000000000001,0,0,0.023175743716342557,0.00018704337930671881,2781.0892459611068,24.315639309873447,-0.047944819969267985,1.9341626483764129,1.3750344040458413,-69.519988955438578,2804.5358401457988,3437.5860101146031,7871.5878125000008,6348.0546875,0,-0,-0,-0,0,17063.571
2,0.014999999999999999,3,0.29999439215149482,0.00022489775257752842,0.00016163733093897125,0.021092330925183395,19.999269631936638,0.026281722924336351,19.999286900783808,0.025000000000000001,0,0,0.022367553118753741,0.00032058119661639294,2684.1063742504489,41.67555556013108,-0.0462728756650631,1.8792711656926508,1.3157949728998251,-67.095669714341497,2724.9431902543438,3289.4874322495625,7871.5878125000008,6348.0546875,0,-0,-0,-0,0,17063.571
2,0.02,4,0.39999014126151078,0.00039575494144346779,0.00028330576376753237,0.027527314170217466,19.999045811600517,0.033123025742222464,19.999073241261218,0.025000000000000001,0,0,0.021623243308066691,0.00047723829361327665,2594.7891969680027,62.040978169725967,-0.044733084739191471,1.8317374798246162,1.2585237773227538,-64.862972871827637,2656.0193457456935,3146.3094433068845,7871.5878125000008,6348.0546875,0,-0,-0,-0,0,17063.571
2,0.025000000000000001,5,0.49998475871308101,0.00061241944465403615,0.00043644132732457568,0.033680797105408534,19.998831292114183,0.039114651572567667,19.998869543212013,0.025000000000000001,0,0,0.020939002619392962,0.00065456735346264966,2512.6803143271554,85.093755950144455,-0.043317561809889472,1.7910268266032485,1.2031894426231933,-62.810464624339737,2596.9888985747102,3007.9736065579832,7871.5878125000008,6348.0546875,0,-0,-0,-0,0,17063.571
2,0.030000000000000002,6,0.59997827334874398,0.00087387228788798291,0.00061966059339564681,0.03956238120440396,19.998625665883853,0.044317121211218495,19.998674769378617,0.025000000000000001,0,0,0.020311207274402346,0.00085028670678033696,2437.3448729282813,110.5372718814438,-0.042018810185712047,1.7566348373837486,1.1497585125960008,-60.927274769282469,2547.1205142064355,2874.3962814900019,7871.5878125000008,6348.0546875,0,-0,-0,-0,0,17063.571
2,0.035000000000000003,7,0.69997070998611932,0.0011792524994556559,0.00083162771512484697,0.04518149602804096,19.998428479365682,0.048787553450288047,19.998487989587513,0.025000000000000001,0,0,0.019736413840552552,0.0010622713391935446,2368.3696608663063,138.09527409516079,-0.040829706265564161,1.7280861089581563,1.0981957220080834,-59.203074085068039,2505.7248579893267,2745.4893050202081,7871.5878125000008,6348.0546875,0,-0,-0,-0,0,17063.571
2,0.040000000000000001,8,0.79996208965485349,0.0015278452245957219,0.0010710535459084473,0.05054739081751522,19.998239244412709,0.052579824230871326,19.998308366326505,0.025000000000000001,0,0,0.019211351894013871,0.0012885443043120285,2305.3622272816647,167.51075956056371,-0.039743484360126077,1.7049328266673054,1.048464248625965,-57.62805232218281,2472.1525986675929,2621.1606215649126,7871.5878125000008,6348.0546875,0,-0,-0,-0,0,17063.571
2,0.044999999999999998,9,0.89995242980179302,0.0019190705289800027,0.0013366947193236963,0.055669127299352701,19.998057448165621,0.055744719813283897,19.998135142405644,0.025000000000000001,0,0,0.018732916889099248,0.0015272685275875566,2247.9500266919099,198.54490858638235,-0.038753721940486777,1.6867534396427015,1.0005259461242104,-56.192896813705829,2445.7924874819173,2501.3148653105259,7871.5878125000008,6348.0546875,0,-0,-0,-0,0,17063.571
