schema_version,time_s,step,position_x_m,position_y_m,yaw_rad,yaw_rate_rad_s,vx_m_s,vy_m_s,speed_m_s,steering_angle_rad,throttle,brake,longitudinal_accel_m_s2,lateral_accel_m_s2,yaw_accel_rad_s2,body_longitudinal_force_n,body_lateral_force_n,yaw_moment_nm,longitudinal_load_transfer_n,front_lateral_load_transfer_n,rear_lateral_load_transfer_n,solver_iterations,solver_residual_m_s2,solver_converged,fz_fl_n,slip_angle_fl_rad,requested_fx_fl_n,requested_fy_fl_n,fx_fl_n,fy_fl_n,force_capacity_fl_n,effective_mu_fl,requested_friction_utilization_fl,friction_utilization_fl,tire_saturated_fl,fz_fr_n,slip_angle_fr_rad,requested_fx_fr_n,requested_fy_fr_n,fx_fr_n,fy_fr_n,force_capacity_fr_n,effective_mu_fr,requested_friction_utilization_fr,friction_utilization_fr,tire_saturated_fr,fz_rl_n,slip_angle_rl_rad,requested_fx_rl_n,requested_fy_rl_n,fx_rl_n,fy_rl_n,force_capacity_rl_n,effective_mu_rl,requested_friction_utilization_rl,friction_utilization_rl,tire_saturated_rl,fz_rr_n,slip_angle_rr_rad,requested_fx_rr_n,requested_fy_rr_n,fx_rr_n,fy_rr_n,force_capacity_rr_n,effective_mu_rr,requested_friction_utilization_rr,friction_utilization_rr,tire_saturated_rr
3,0,0,0,0,0,0,20,0,20,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3935.7939062500004,-0,0,0,0,0,4684.6610686172198,1.1902709288659719,0,0,0,3935.7939062500004,-0,0,0,0,0,4684.6610686172198,1.1902709288659719,0,0,0,3174.02734375,-0,0,0,0,0,3843.5295569119107,1.2109314573109247,0,0,0,3174.02734375,-0,0,0,0,0,3843.5295569119107,1.2109314573109247,0,0,0
3,0.002,1,0.039999999999940167,2.5650186967839709e-09,1.8584788914645644e-09,2.7836769160313722e-06,19.999999999880572,3.8057415052903709e-06,19.999999999880934,4.6666666666666672e-05,0,0,-1.7878771448630556e-07,0.0038334468418949113,0.0027755437487395995,-0.00025924218600514306,5.5584979207476213,6.9388593718489986,-4.6281945438542457e-05,0.95513358627353107,0.79136499668232707,13,9.359001077024337e-07,1,3934.8387958046997,4.6302399743587967e-05,0,2.7775947260357139,0,2.7775947260357139,4683.6151654827918,1.1902940396126096,0.0005930450363441414,0.0005930450363441414,0,3936.7490629772465,4.6302399824708082e-05,0,2.7775949760908225,0,2.7775949760908225,4685.7070021268846,1.1902478230561191,0.0005927803370612049,0.0005927803370612049,0,3173.2359556123452,2.5447888526193405e-08,0,0.0016541125168585192,0,0.0016541125168585192,3842.6478966705845,1.2109556145279028,4.3046164034225067e-07,4.3046164034225067e-07,0,3174.8186856057096,2.5447882929936733e-08,0,0.0016541121532107983,0,0.0016541121532107983,3844.4111480075944,1.2109073080102954,4.3026411315763117e-07,4.3026411315763117e-07,0
3,0.0040000000000000001,2,0.079999999999047819,2.044536553814125e-08,1.48029799831187e-08,1.1069868998355024e-05,19.99999999905037,1.5000800495342595e-05,19.999999999055998,9.3333333333333343e-05,0,0,-7.0950363731082298e-07,0.0076114961933385549,0.0055026281754901266,-0.0010287802741006933,11.036669480340905,13.756570438725317,-0.00018368833760202673,1.8966960083930935,1.5714857606939323,14,9.2913771736462952e-07,1,3933.8973020857761,9.1891425857632488e-05,0,5.5113219079694362,0,5.5113219079694362,4682.5841536013677,1.1903168268064936,0.0011769829921221358,0.0011769829921221358,0,3937.6906941025622,9.1891427134570069e-05,0,5.5113239019698117,0,5.5113239019698117,4686.7381047077279,1.1902250503644194,0.0011759402336635378,0.0011759402336635378,0,3172.4557661451372,1.0787486977985302e-07,0,0.0070118622697617414,0,0.0070118622697617414,3841.7786952911906,1.2109794362741739,1.8251603816628152e-06,1.8251603816628152e-06,0,3175.5987376665253,1.078747754412008e-07,0,0.0070118561416412867,0,0.0070118561416412867,3845.280144549562,1.2108835096008157,1.8234968267735038e-06,1.8234968267735038e-06,0
3,0.0060000000000000001,3,0.11999999999520232,6.8754140626649122e-08,4.9742065881824224e-08,2.4762333411644204e-05,19.99999999681441,3.3258932868625621e-05,19.999999996842064,0.00014000000000000001,0,0,-1.5839450151900351e-06,0.011336856614073429,0.0081819279598099037,-0.0022967202720255509,16.438442090406472,20.454819899524757,-0.00041010358774030861,2.8251847881693908,2.3407745080344773,15,6.9194681067037689e-07,1,3932.9689265136249,0.00013678940433776702,0,8.202569072268993,0,8.202569072268993,4681.5674878236505,1.190339302266906,0.0017520988629562985,0.0017520988629562985,0,3938.6192960899634,0.00013678941069790793,0,8.2025757815036524,0,8.2025757815036524,4687.7549208363107,1.1902025985324467,0.0017497876744888119,0.0017497876744888119,0,3171.6863641901718,2.5613444654015544e-07,0,0.016648714970086347,0,0.016648714970086347,3840.9214954247886,1.2110029348395213,4.3345626797938687e-06,4.3345626797938687e-06,0,3176.3679132062407,2.5613394548420694e-07,0,0.016648682434163217,0,0.016648682434163217,3846.1370076672911,1.2108600492015997,4.3286763838557999e-06,4.3286763838557999e-06,0
3,0.0080000000000000002,4,0.15999999998490658,1.6239366154000045e-07,1.1739315837629828e-07,4.3766169925027656e-05,19.999999992494686,5.8263053708147339e-05,19.99999999257955,0.00018666666666666669,0,0,-2.7942574468218664e-06,0.01501215624837156,0.010814111036760381,-0.0040516732978917065,21.767626560138762,27.03527759190095,-0.00072346892917541901,3.7410824635368516,3.0996310399845028,15,9.162692895230834e-07,1,3932.0531855209283,0.00018101811847027268,0,10.85268846797598,0,10.85268846797598,4680.5646393881834,1.1903614774651352,0.0023186707810095709,0.0023186707810095709,0,3939.5353504480017,0.00018101813824746366,0,10.852704325353077,0,10.852704325353077,4688.7579785604003,1.1901804556791697,0.0023146224170617581,0.0023146224170617581,0,3170.9273509755508,4.7872631156656489e-07,0,0.03111712620141455,0,0.03111712620141455,3840.0758534773304,1.2110261221519039,8.1032582138284693e-06,8.1032582138284693e-06,0,3177.12661305552,4.7872465636007481e-07,0,0.031117018764465029,0,0.031117018764465029,3846.9821845827114,1.2108369143283764,8.0886828353847298e-06,8.0886828353847298e-06,0
3,0.01,5,0.19999999996331688,3.1606597657134851e-07,2.2828521019716482e-07,6.7987807483032179e-05,19.999999985429895,8.970502501512537e-05,19.999999985631071,0.00023333333333333336,0,0,-4.3329237925281339e-06,0.018639944816546142,0.013399838656318035,-0.0062827394991657945,27.027919983991907,33.49959664079509,-0.0011218835294960416,4.6452819801705623,3.8487951964589233,16,5.6884595579786978e-07,1,3931.1491852115946,0.00022459882035513111,0,13.462997890231222,0,13.462997890231222,4679.5746301108338,1.1903833738273546,0.0028769704416301521,0.0028769704416301521,0,3940.439749171936,0.00022459886786223288,0,13.463028779093797,0,13.463028779093797,4689.7482553380978,1.1901586000201183,0.0028707359214366203,0.0028707359214366203,0,3170.1779876117762,7.8380593467482792e-07,0,0.050947160394024568,0,0.050947160394024568,3839.2409468645906,1.2110490205494255,1.327011279029825e-05,1.327011279029825e-05,0,3177.875578004694,7.8380172483561814e-07,0,0.050946887259145757,0,0.050946887259145757,3847.816501171505,1.210814082150897,1.3240466961882014e-05,1.3240466961882014e-05,0
3,0.012,6,0.23999999992427076,5.4428306425739118e-07,3.9276135003565633e-07,9.7334990892278101e-05,19.999999974975108,0.00012728544791234465,19.999999975380149,0.00028000000000000003,0,0,-6.1927533948687131e-06,0.022222695558467457,0.015939765439749537,-0.0089794924225596335,32.222908559777814,39.849413599373847,-0.0016034318553949135,5.5381433928384292,4.5885652967130817,16,6.7818281482626142e-07,1,3930.2565645730897,0.00026755224219458741,0,16.03478148601496,0,16.03478148601496,4678.5970653255808,1.1904049998918524,0.0034272627589268813,0.0034272627589268813,0,3941.3328513587662,0.0002675523391224016,0,16.034834727883851,0,16.034834727883851,4690.7261450616616,1.1901370226684975,0.0034184120394163547,0.0034184120394163547,0,3169.4379767373593,1.1791939336940507e-06,0,0.076647095510798582,0,0.076647095510798582,3838.4164448764291,1.2110716388991214,1.9968415780707738e-05,1.9968415780707738e-05,0,3178.6151073307856,1.1791848663592678e-06,0,0.076646507497142441,0,0.076646507497142441,3848.6402914242658,1.2107915433196716,1.9915217243848444e-05,1.9915217243848444e-05,0
3,0.014,7,0.27999999986031304,8.6137672696858015e-07,6.2098150104652719e-07,0.000131716767618049,19.999999960501452,0.00017071345921806068,19.999999961230031,0.00032666666666666673,0,0,-8.3668716012232678e-06,0.025762807130445597,0.018434539433147514,-0.012131963821773738,37.356070339146115,46.086348582868787,-0.0021663559970800344,6.4203786491689279,5.3195312168027931,16,7.862184198056954e-07,1,3929.3746107788302,0.00030989860735270862,0,18.569290536591168,0,18.569290536591168,4677.6311650251455,1.1904263727346691,0.003969806485691855,0.003969806485691855,0,3942.215368077168,0.00030989878404254375,0,18.569374884458718,0,18.569374884458718,4691.6924269618667,1.1901157062482508,0.003957926734017265,0.003957926734017265,0,3168.7067293551986,1.6723852339035442e-06,0,0.10870401380335881,0,0.10870401380335881,3837.6016918284263,1.2110939949969246,2.8326028215702283e-05,2.8326028215702283e-05,0,3179.345791788804,1.6723678317810495e-06,0,0.10870288584698247,0,0.10870288584698247,3849.4542139783898,1.2107692796172891,2.8238518970365576e-05,2.8238518970365576e-05,0
3,0.016,8,0.31999999976272003,1.2815081861493211e-06,9.2292497304939636e-07,0.00017104347468527517,19.99999994139575,0.0002197065322942483,19.999999942602525,0.00037333333333333337,0,0,-1.084870957966164e-05,0.029262605456819898,0.020884802158338191,-0.015730628890509378,42.430777912388855,52.212005395845473,-0.0028089551481904908,7.2925673954293044,6.0421732160058665,16,8.9302374933764028e-07,1,3928.5027433321452,0.00035165764119124356,0,21.067744223658149,0,21.067744223658149,4676.6762940678018,1.190447506242813,0.0045048540670607961,0.0045048540670607961,0,3943.0878781230035,0.00035165793778807106,0,21.067869854715234,0,21.067869854715234,4692.6477353817827,1.1900946365962268,0.0044895485539788128,0.0044895485539788128,0,3167.9837660564203,2.2705580204289918e-06,0,0.14758437898415153,0,0.14758437898415153,3836.7961540873462,1.2111161033073976,3.8465525156172189e-05,3.8465525156172189e-05,0,3180.0681124884318,2.2705273398696571e-06,0,0.14758239141541685,0,0.14758239141541685,3850.2588052831552,1.2107472761865761,3.8330512019844174e-05,3.8330512019844174e-05,0
3,0.018000000000000002,9,0.35999999962152207,1.818677386614833e-06,1.3083930286322095e-06,0.00021522672567885406,19.999999917060165,0.00027399028207579723,19.999999918936933,0.00042000000000000013,0,0,-1.3631994419724202e-05,0.032724345537517803,0.023291188661343033,-0.019766391908600092,47.450301029400812,58.227971653357585,-0.0035296051225508301,8.1552716027329986,6.756956909053808,16,9.9866761736622234e-07,1,3927.6403994498287,0.00039284858168692265,0,23.53133037565626,0,23.53133037565626,4675.7318366602331,1.1904684138892132,0.0050326518281390885,0.0050326518281390885,0,3943.950942655295,0.00039284904917976862,0,23.531508885610453,0,23.531508885610453,4693.5926853023666,1.1900737999906179,0.0050135387672853695,0.0050135387672853695,0,3167.2686220383848,2.9805824879628279e-06,0,0.19373460014749871,0,0.19373460014749871,3835.9993142501353,1.2111379778647793,5.0504336491355744e-05,5.0504336491355744e-05,0,3180.7825358564924,2.9805318098137062e-06,0,0.19373131892896012,0,0.19373131892896012,3851.0545853877479,1.2107255186342913,5.0306043353434851e-05,5.0306043353434851e-05,0
