requested_fx_normalized,delivered_fx_normalized,delivered_fy_normalized,delivered_norm,requested_utilization
-1.5,-0.8912780103322132,0.453457283873852,1.0,1.6829765601878732
-1.4,-0.8780216665316729,0.4786208866116728,1.0,1.5944936820639353
-1.3,-0.8623826225202612,0.5062570615557641,1.0,1.507451525635835
-1.2,-0.8438138182191904,0.5366360407038938,1.0,1.4221146585777835
-1.1,-0.8216256591052158,0.5700274346905765,0.9999999999999999,1.338809210508281
-1.0,-0.794951213430723,0.6066733620862392,1.0,1.2579388308426631
-0.9,-0.7627090976079123,0.646741704566919,0.9999999999999999,1.180004280560798
-0.8,-0.723571615433143,0.6902493153487886,0.9999999999999998,1.1056265654106754
-0.7,-0.6759546995607091,0.7369431756531782,0.9999999999999998,1.035572354855906
-0.6,-0.6,0.7631579798061514,0.970778091090753,0.970778091090753
-0.5,-0.5,0.7631579798061514,0.9123651144918936,0.9123651144918936
-0.4,-0.39999999999999997,0.7631579798061514,0.8616322313735751,0.861632231373575
-0.3,-0.3,0.7631579798061514,0.8200061598194286,0.8200061598194285
-0.2,-0.19999999999999998,0.7631579798061514,0.7889297193931828,0.7889297193931828
-0.1,-0.09999999999999999,0.7631579798061514,0.7696818187678635,0.7696818187678635
0.0,0.0,0.7631579798061514,0.7631579798061514,0.7631579798061514
0.1,0.09999999999999999,0.7631579798061514,0.7696818187678635,0.7696818187678635
0.2,0.19999999999999998,0.7631579798061514,0.7889297193931828,0.7889297193931828
0.3,0.3,0.7631579798061514,0.8200061598194286,0.8200061598194285
0.4,0.39999999999999997,0.7631579798061514,0.8616322313735751,0.861632231373575
0.5,0.5,0.7631579798061514,0.9123651144918936,0.9123651144918936
0.6,0.6,0.7631579798061514,0.970778091090753,0.970778091090753
0.7,0.6759546995607091,0.7369431756531782,0.9999999999999998,1.035572354855906
0.8,0.723571615433143,0.6902493153487886,0.9999999999999998,1.1056265654106754
0.9,0.7627090976079123,0.646741704566919,0.9999999999999999,1.180004280560798
1.0,0.794951213430723,0.6066733620862392,1.0,1.2579388308426631
1.1,0.8216256591052158,0.5700274346905765,0.9999999999999999,1.338809210508281
1.2,0.8438138182191904,0.5366360407038938,1.0,1.4221146585777835
1.3,0.8623826225202612,0.5062570615557641,1.0,1.507451525635835
1.4,0.8780216665316729,0.4786208866116728,1.0,1.5944936820639353
1.5,0.8912780103322132,0.453457283873852,1.0,1.6829765601878732
