case,acceleration_m_s2,front_axle_load_n,rear_axle_load_n,production_transfer_n,reference_transfer_n,total_load_n,conservation_error_n
hard acceleration,6.021034482758621,6312.57020573571,7907.072294264291,1559.0176067642903,1559.0178571428573,14219.642500000002,1.8189894035458565e-12
coasting,-0.18586206896551727,7919.712628917695,6299.929871082306,-48.124816417694106,-48.125000000000014,14219.642500000002,1.8189894035458565e-12
moderate braking,-4.530689655172414,9044.712672652604,5174.929827347398,-1173.1248601526024,-1173.125,14219.642500000002,1.8189894035458565e-12
hard braking,-10.95682197555151,10708.621829060558,3511.0206709394442,-2837.0340165605558,-2837.0342615267305,14219.642500000002,1.8189894035458565e-12
