initial_speed_m_s,linear_yaw_rate_rad_s,nonlinear_yaw_rate_rad_s,relative_difference,nonlinear_lateral_accel_m_s2,peak_nonlinear_utilization
10.0,0.08395481790262657,0.08381668299606035,0.0016453481767590295,0.8359144247552173,0.31750019297889265
15.0,0.11711319183460352,0.11629157875244096,0.007015546833723908,1.7319495424804445,0.31750019297889265
20.0,0.14230919091408922,0.1396242983873771,0.01886661367032125,2.7547612863824056,0.31750019297889265
25.0,0.15995543236065826,0.15383408556812475,0.038269077218530796,3.7663185166582505,0.41830657144643213
30.0,0.17124978760180962,0.1601846262139882,0.06461416123650993,4.673700657549493,0.5593328439662731
35.0,0.1775641863173569,0.16052229665093762,0.09597593985512742,5.432970375516774,0.6934547075362316
