schema_version,lap_number,s_m,time_s,speed_m_s,throttle,brake,steering_angle_rad,lateral_accel_m_s2,maximum_tire_utilization,lateral_error_m
1,0,1,0.080258900233569963,12.753171878762203,0.83950548357585775,0,-0.0077309097374837358,-0.5368006157655093,0.83932803843857484,-0.0010817858931103795
1,0,2,0.15720342763719275,13.218824727379269,0.66268902433767363,0,0.0079541427806277491,0.21427630986127713,0.67511536554275786,-0.0032616548919919852
1,0,3,0.23181782543266494,13.568424877632223,0.50688966712483396,0,0.02338527965532285,1.0149076001914565,0.54931838304391434,-0.0065139293220362656
1,0,4,0.30481103351597383,13.821910700048999,0.36807449102060608,0,0.038423332820508714,1.9075405133325416,0.43228508997362658,-0.011152152031854989
1,0,5,0.37670336351888783,13.992078364712249,0.24336670809916897,0,0.053229924968621063,2.8498965608003575,0.46120747745092638,-0.017364875002715847
1,0,6,0.44792873341754541,14.08824547158933,0.13054966974761706,0,0.068021112363538638,3.8166206028231819,0.56151543559824502,-0.025310490495585154
1,0,7,0.51886295156282225,14.118382986045498,0.028129952365163649,0,0.082971735268143193,4.7828222380393219,0.66148059502230128,-0.035132082223054022
1,0,8,0.58984639302357345,14.08047810434636,0,0.064435128229957242,0.098184374392580195,5.6869694444411065,0.75980284119364372,-0.047132224614831547
1,0,9,0.66127438061800914,13.959235216938385,0,0.14103320434932254,0.11366148854421264,6.5244932734335856,0.87517401638290526,-0.061661642625476042
1,0,10,0.73352071563567789,13.811966071627275,0,0.061873704581099732,0.068787975371195118,3.8000848791730597,0.72175016981367801,-0.079200915485225357
1,0,11,0.80617734956715703,13.758588315468359,0.003302490659871858,0.0031432295762738988,0.035120035541304065,4.3593083049504644,0.64590731746267183,-0.093466462708851533
1,0,12,0.87900901030259171,13.748502019855708,0.051558937611372924,0,0.039748975726063361,4.8863370300314433,0.57514485599504439,-0.098865375294776792
1,0,13,0.9518780020633002,13.748996199776178,0.014801297489941205,0,0.051375352806124305,4.9358394708414393,0.55325998206237226,-0.096617849728333205
1,0,14,1.0248587207658844,13.70660204279886,0,0.07533049461844013,0.066859556326323052,5.0898518708716907,0.63659399191389421,-0.091022422840990921
1,0,15,1.098311660577469,13.578746737488622,0,0.15682203868500863,0.08451824278756212,5.4848503574923759,0.74469605133420602,-0.085698676733394569
1,0,16,1.1727191472345937,13.369503836703993,0,0.22706787291488736,0.10349310315464426,6.0621431070855278,0.86368626806566617,-0.083064752800155087
1,0,17,1.2485458382122361,13.084907522145649,0,0.28743974704796843,0.12339191189520882,6.7163225880238411,0.98169032134978007,-0.084308149778601654
1,0,18,1.3263085253609053,12.729494553352497,0,0.33980595277150966,0.14405354944699622,7.2383295577392426,1,-0.090017790844576034
1,0,19,1.4065560020040895,12.314793676233299,0,0.38771354029265859,0.16570890489151568,7.5915275147511672,1,-0.10100848192856463
1,0,20,1.4898938688735908,11.840682169359754,0,0.41962626581858176,0.19082555533035223,7.9970682257757097,1,-0.11864594554781795
1,0,21,1.5768370807872631,11.378521000528238,0,0.26861627778781394,0.17525408700791045,8.3110954645335937,1,-0.1425202840192038
1,0,22,1.666837253150651,11.060593323807261,0,0.1364870586966912,0.14140726217795863,7.9122101275680627,1.0000000000000002,-0.16139768382395009
1,0,23,1.7587299976197837,10.893212807398818,0,0.036544236506969002,0.10415199953209836,6.9648673693297134,0.9601437578754175,-0.1655559977315777
1,0,24,1.8513810722825388,10.845819827687366,0.037251542733324934,0,0.071853946585307721,5.7038165743107507,0.82815374855937862,-0.15203131892513999
1,0,25,1.9439860808085583,10.865798505576361,0.09585611350092868,0,0.047828414639455218,4.1195925920018519,0.59992305637658438,-0.12394744004262798
