schema_version,time_s,step,heave_m,roll_rad,pitch_rad,heave_rate_m_s,roll_rate_rad_s,pitch_rate_rad_s,compression_fl_m,compression_fr_m,compression_rl_m,compression_rr_m,gravity_x_m_s2,gravity_y_m_s2,gravity_z_m_s2
1,0,0,0,0,0,0,0,0,-0,0,0,0,0,0,-9.8066499999999994
1,0.0050000000000000001,1,-7.4730143376829932e-06,0,1.6880261710062201e-08,-0.0029647916954008537,0,1.0056911826596633e-05,7.4468735643987908e-06,7.4468735643987908e-06,7.491943863164657e-06,7.491943863164657e-06,0,0,-9.8066499999999994
1,0.01,2,-2.9398072681673968e-05,0,1.3228317836569118e-07,-0.0057797608244639503,0,3.9130570375480882e-05,2.9193218951656857e-05,2.9193218951656857e-05,2.9546415037893255e-05,2.9546415037893255e-05,0,0,-9.8066499999999994
1,0.014999999999999999,3,-6.5011039001626152e-05,0,4.3702744562854428e-07,-0.0084390622236832687,0,8.5499111144972257e-05,6.4334258299325787e-05,6.4334258299325787e-05,6.5501121579154007e-05,6.5501121579154007e-05,0,0,-9.8066499999999994
1,0.02,4,-0.00011352099597889195,0,1.0131011838721706e-06,-0.010937824806904771,0,0.00014735543422693314,0.00011195210748554751,0.00011195210748554751,0.0001146570876464862,0.0001146570876464862,0,0,-9.8066499999999994
1,0.025000000000000001,5,-0.00017411505656764211,0,1.9332843808778593e-06,-0.013272127495467096,0,0.00022282656926651183,0.00017112117237541466,0.00017112117237541466,0.00017628304167235855,0.00017628304167235855,0,0,-9.8066499999999994
1,0.029999999999999999,6,-0.00024596304733815431,0,3.2608668219058257e-06,-0.015438972046121768,0,0.00030999248759318689,0.00024091326897775095,0.00024091326897775095,0.0002496197833922395,0.0002496197833922395,0,0,-9.8066499999999994
1,0.035000000000000003,7,-0.0003282220487694521,0,5.0494584834700761e-06,-0.017436253048019004,0,0.00040690425939512905,0.00032040245736195035,0.00032040245736195035,0.00033388451151281545,0.00033388451151281545,0,0,-9.8066499999999994
1,0.040000000000000001,8,-0.00042004077901347937,0,7.3428888818336696e-06,-0.019262725359276835,0,0.00051160146395008276,0.00040866958129107177,0.00040866958129107177,0.00042827509460556767,0.00042827509460556767,0,0,-9.8066499999999994
1,0.044999999999999998,9,-0.00052056380900124255,0,1.0175191432725605e-05,-0.020917969251727054,0,0.00062212877109197272,0.00050480650754852372,0.00050480650754852372,0.000531974268673901,0.000531974268673901,0,0,-9.8066499999999994
1,0.050000000000000003,10,-0.00062893559809722459,0,1.3570668495019022e-05,-0.022402353529418207,0,0.00073655162221740206,0.00060792006086583816,0.00060792006086583816,0.00064415374574753887,0.00064415374574753887,0,0,-9.8066499999999994
1,0.055,11,-0.00074430434082660554,0,1.7544032437742901e-05,-0.023716996882422708,0,0.00085297094915891215,0.0007171356521935169,0.0007171356521935169,0.00076397821880229042,0.00076397821880229042,0,0,-9.8066499999999994
1,0.059999999999999998,12,-0.00086582561649548007,0,2.2100617786167406e-05,-0.024863727732510929,0,0.00096953687911418261,0.00083160059979182118,0.00083160059979182118,0.00089060924928088825,0.00089060924928088825,0,0,-9.8066499999999994
1,0.065000000000000002,13,-0.00099266583479276616,0,2.7236659267871443e-05,-0.02584504282139044,0,0.0010844613834696322,0.00095048714425054041,0.00095048714425054041,0.0010232090244957572,0.0010232090244957572,0,0,-9.8066499999999994
1,0.070000000000000007,14,-0.0011240054716996277,0,3.2939630392478992e-05,-0.026664064785533168,0,0.0011960298377436569,0.0010729951600738348,0.0010729951600738348,0.0011609439732217536,0.0011609439732217536,0,0,-9.8066499999999994
