schema_version,time_s,step,position_x_m,position_y_m,yaw_rad,yaw_rate_rad_s,vx_m_s,vy_m_s,speed_m_s,steering_angle_rad,throttle,brake,longitudinal_accel_m_s2,lateral_accel_m_s2,track_s_m,unwrapped_track_s_m,track_progress_fraction,lateral_error_m,heading_error_rad,reference_curvature_1_m,target_speed_m_s,speed_error_m_s,lap_number,lap_elapsed_time_s,sector_index,on_track,friction_utilization_fl,friction_utilization_fr,friction_utilization_rl,friction_utilization_rr
4,0,0,0,0,0,0,28,0,28,0,0,0,-0.33683147785234901,0,0,0,0,0,0,0,20,-8,0,0,0,1,0,0,0,0
4,0.0050000000000000001,1,0.13999578790993483,0,0,0,27.998314749521576,0,27.998314749521576,0,0,1.3455000000000002e-05,-0.3373290254006725,0,0.13999578790993483,0.13999578790993483,0.00046665262636644945,0,0,0,20,-7.9983147495215761,0,0.0050000000000000001,0,1,1.9491614117763234e-05,1.9491614117763234e-05,1.0073631772256753e-05,1.0073631772256753e-05
4,0.01,2,0.27998314184650563,0,0,0,27.996626111551858,0,27.996626111551858,0,0,5.3640000000000001e-05,-0.33818549291366268,0,0.27998314184650563,0.27998314184650563,0.00093327713948835212,0,0,0,20,-7.9966261115518584,0,0.01,0,1,7.7448698083478875e-05,7.7448698083478875e-05,4.0058967642777911e-05,4.0058967642777911e-05
4,0.014999999999999999,3,0.41996204041024809,0,0,0,27.994932306174697,0,27.994932306174697,0,0,0.00012028499999999999,-0.33939501528351451,0,0.41996204041024809,0.41996204041024809,0.0013998734680341603,0,0,0,20,-7.9949323061746966,0,0.014999999999999999,0,1,0.00017309054316532149,0.00017309054316532149,8.9594458114549791e-05,8.9594458114549791e-05
4,0.02,4,0.55993245337521313,0,0,0,27.993231582667072,0,27.993231582667072,0,0,0.00021311999999999999,-0.34095178170961099,0,0.55993245337521313,0.55993245337521313,0.0018664415112507105,0,0,0,20,-7.9932315826670717,0,0.02,0,1,0.0003056375680085299,0.0003056375680085299,0.00015831068358294244,0.00015831068358294244
4,0.025000000000000001,5,0.6998943418342205,0,0,0,27.991522219207894,0,27.991522219207894,0,0,0.00033187500000000008,-0.3428500434644926,0,0.6998943418342205,0.6998943418342205,0.0023329811394474016,0,0,0,20,-7.9915222192078943,0,0.025000000000000001,0,1,0.0004743186641397606,0.0004743186641397606,0.00024583402462041959,0.00024583402462041959
4,0.029999999999999999,6,0.83984765834256236,0,0,0,27.989802522549564,0,27.989802522549564,0,0,0.00047627999999999999,-0.34508412100819902,0,0.83984765834256236,0.83984765834256236,0.0027994921944752079,0,0,0,20,-7.9898025225495637,0,0.029999999999999999,0,1,0.00067837753499096123,0.00067837753499096123,0.00035179009270967841,0.00035179009270967841
4,0.035000000000000003,7,0.97979234705997809,0,0,0,27.988070827655616,0,27.988070827655616,0,0,0.00064606500000000014,-0.34764841045143841,0,0.97979234705997809,0.97979234705997809,0.0032659744901999271,0,0,0,20,-7.9880708276556156,0,0.035000000000000003,0,1,0.00091707805783908952,0.00091707805783908952,0.00047580689529118684,0.00047580689529118684
4,0.040000000000000001,8,1.1197283438907395,0,0,0,27.986325497307654,0,27.986325497307654,0,0,0.00084095999999999997,-0.35053738937089307,0,1.1197283438907395,1.1197283438907395,0.0037324278129691317,0,0,0,20,-7.9863254973076536,0,0.040000000000000001,0,1,0.001189708711844692,0.001189708711844692,0.00061751771651842894,0.00061751771651842894
4,0.044999999999999998,9,1.259655576621701,0,0,0,27.984564921684825,0,27.984564921684825,0,0,0.001060695,-0.35374562198266774,0,1.259655576621701,1.259655576621701,0.0041988519220723369,0,0,0,20,-7.9845649216848251,0,0.044999999999999998,0,1,0.0014955861256262669,0.0014955861256262669,0.00077656370199853783,0.00077656370199853783
4,0.050000000000000003,10,1.399573965058184,0,0,0,27.982787517919007,0,27.982787517919007,0,0,0.0013050000000000002,-0.35726776368241059,0,1.399573965058184,1.399573965058184,0.0046652465501939465,0,0,0,20,-7.9827875179190073,0,0.050000000000000003,0,1,0.0018340578049414308,0.0018340578049414308,0.00095259614195033311,0.00095259614195033311
4,0.055,11,1.5394834211575843,0,0,0,27.980991729628862,0,27.980991729628862,0,0,0.0015736049999999998,-0.36109856496300941,0,1.5394834211575843,1.5394834211575843,0.0051316114038586144,0,0,0,20,-7.9809917296288617,0,0.055,0,1,0.0022045041054957778,0.0022045041054957778,0.0011452784525876288,0.0011452784525876288
