schema_version,lap_number,s_m,time_s,speed_m_s,throttle,brake,steering_angle_rad,lateral_accel_m_s2,maximum_tire_utilization,lateral_error_m
1,0,1,0.05000000000000001,20,0,0,0,0,0,0
1,0,2,0.099999999999999978,20,0,0,0,0,0,0
1,0,3,0.14999999999999994,20,0,0,0,0,0,0
1,0,4,0.19999999999999993,20,0,0,0,0,0,0
1,0,5,0.25000000000000011,20,0,0,0,0,0,0
1,0,6,0.30000000000000027,20,0,0,0,0,0,0
1,0,7,0.35000000000000048,20,0,0,0,0,0,0
1,0,8,0.40000000000000063,20,0,0,0,0,0,0
1,0,9,0.45000000000000079,20,0,0,0,0,0,0
1,0,10,0.500000000000001,20,0,0,0,0,0,0
1,0,11,0.55000000000000115,20,0,0,0,0,0,0
1,0,12,0.60000000000000131,20,0,0,0,0,0,0
1,0,13,0.65000000000000158,20,0,0,0,0,0,0
1,0,14,0.70000000000000173,20,0,0,0,0,0,0
1,0,15,0.75000000000000189,20,0,0,0,0,0,0
1,0,16,0.80000000000000204,20,0,0,0,0,0,0
1,0,17,0.85000000000000142,20,0,0,0,0,0,0
1,0,18,0.90000000000000069,20,0,0,0,0,0,0
1,0,19,0.95000000000000007,20,0,0,0,0,0,0
1,0,20,0.99999999999999933,20,0,0,0,0,0,0
1,0,21,1.0499999999999987,20,0,0,0,0,0,0
1,0,22,1.0999999999999979,20,0,0,0,0,0,0
1,0,23,1.1499999999999972,20,0,0,0,0,0,0
1,0,24,1.1999999999999964,20,0,0,0,0,0,0
1,0,25,1.2499999999999958,20,0,0,0,0,0,0
1,0,26,1.2999999999999952,20,0,0,0,0,0,0
1,0,27,1.3499999999999943,20,0,0,0,0,0,0
1,0,28,1.3999999999999937,20,0,0,0,0,0,0
1,0,29,1.4499999999999929,20,0,0,0,0,0,0
1,0,30,1.4999999999999922,20,0,0,0,0,0,0
1,0,31,1.5499999999999916,20,0,0,0,0,0,0
1,0,32,1.5999999999999908,20,0,0,0,0,0,0
1,0,33,1.6499999999999901,20,0,0,0,0,0,0
1,0,34,1.6999999999999893,20,0,0,0,0,0,0
1,0,35,1.7499999999999887,20,0,0,0,0,0,0
1,0,36,1.7999999999999881,20,0,0,0,0,0,0
1,0,37,1.8499999999999872,20,0,0,0,0,0,0
1,0,38,1.8999999999999866,20,0,0,0,0,0,0
1,0,39,1.9499999999999857,20,0,0,0,0,0,0
1,0,40,1.9999999999999851,20,0,0,0,0,0,0
1,0,41,2.0499999999999843,20,0,0,0,0,0,0
1,0,42,2.0999999999999837,20,0,0,0,0,0,0
1,0,43,2.149999999999983,20,0,0,0,0,0,0
1,0,44,2.1999999999999824,20,0,0,0,0,0,0
1,0,45,2.2499999999999813,20,0,0,0,0,0,0
1,0,46,2.2999999999999812,20,0,0,0,0,0,0
1,0,47,2.3499999999999801,20,0,0,0,0,0,0
1,0,48,2.3999999999999795,20,0,0,0,0,0,0
1,0,49,2.4499999999999789,20,0,0,0,0,0,0
1,0,50,2.4999999999999778,20,0,0,0,0,0,0
1,0,51,2.5499999999999776,20,0,0,0,0,0,0
1,0,52,2.5999999999999766,20,0,0,0,0,0,0
1,0,53,2.6499999999999759,20,0,0,0,0,0,0
1,0,54,2.6999999999999753,20,0,0,0,0,0,0
1,0,55,2.7499999999999742,20,0,0,0,0,0,0
1,0,56,2.7999999999999741,20,0,0,0,0,0,0
1,0,57,2.849999999999973,20,0,0,0,0,0,0
1,0,58,2.8999999999999724,20,0,0,0,0,0,0
1,0,59,2.9499999999999718,20,0,0,0,0,0,0
1,0,60,2.9999999999999707,20,0,0,0,0,0,0
1,0,61,3.0499999999999705,20,0,0,0,0,0,0
1,0,62,3.0999999999999694,20,0,0,0,0,0,0
1,0,63,3.1499999999999688,20,0,0,0,0,0,0
1,0,64,3.1999999999999682,20,0,0,0,0,0,0
1,0,65,3.2499999999999707,20,0,0,0,0,0,0
1,0,66,3.2999999999999741,20,0,0,0,0,0,0
1,0,67,3.3499999999999766,20,0,0,0,0,0,0
1,0,68,3.3999999999999795,20,0,0,0,0,0,0
1,0,69,3.4499999999999824,20,0,0,0,0,0,0
1,0,70,3.4999999999999849,20,0,0,0,0,0,0
1,0,71,3.5499999999999883,20,0,0,0,0,0,0
1,0,72,3.5999999999999908,20,0,0,0,0,0,0
1,0,73,3.6499999999999937,20,0,0,0,0,0,0
1,0,74,3.6999999999999966,20,0,0,0,0,0,0
1,0,75,3.7499999999999991,20,0,0,0,0,0,0
1,0,76,3.8000000000000025,20,0,0,0,0,0,0
1,0,77,3.850000000000005,20,0,0,0,0,0,0
1,0,78,3.9000000000000079,20,0,0,0,0,0,0
1,0,79,3.9500000000000108,20,0,0,0,0,0,0
1,0,80,4.0000000000000133,20,0,0,0,0,0,0
1,0,81,4.0500000000000158,20,0,0,0,0,0,0
1,0,82,4.1000000000000192,20,0,0,0,0,0,0
1,0,83,4.1500000000000226,20,0,0,0,0,0,0
1,0,84,4.200000000000025,20,0,0,0,0,0,0
1,0,85,4.2500000000000275,20,0,0,0,0,0,0
1,0,86,4.30000000000003,20,0,0,0,0,0,0
1,0,87,4.3500000000000343,20,0,0,0,0,0,0
1,0,88,4.4000000000000368,20,0,0,0,0,0,0
1,0,89,4.4500000000000393,20,0,0,0,0,0,0
1,0,90,4.5000000000000417,20,0,0,0,0,0,0
1,0,91,4.5500000000000442,20,0,0,0,0,0,0
1,0,92,4.6000000000000485,20,0,0,0,0,0,0
1,0,93,4.650000000000051,20,0,0,0,0,0,0
1,0,94,4.7000000000000535,20,0,0,0,0,0,0
1,0,95,4.750000000000056,20,0,0,0,0,0,0
1,0,96,4.8000000000000584,20,0,0,0,0,0,0
1,0,97,4.8500000000000627,20,0,0,0,0,0,0
1,0,98,4.9000000000000652,20,0,0,0,0,0,0
1,0,99,4.9500000000000677,20,0,0,0,0,0,0
1,0,100,5.0000000000000702,20,0,0,0,0,0,0
1,0,101,5.0500000000000727,20,0,0,0,0,0,0
1,0,102,5.1000000000000769,20,0,0,0,0,0,0
1,0,103,5.1500000000000794,20,0,0,0,0,0,0
1,0,104,5.2000000000000819,20,0,0,0,0,0,0
1,0,105,5.2500000000000844,20,0,0,0,0,0,0
1,0,106,5.3000000000000869,20,0,0,0,0,0,0
1,0,107,5.3500000000000911,20,0,0,0,0,0,0
1,0,108,5.4000000000000936,20,0,0,0,0,0,0
1,0,109,5.4500000000000961,20,0,0,0,0,0,0
1,0,110,5.5000000000000986,20,0,0,0,0,0,0
1,0,111,5.5500000000001011,20,0,0,0,0,0,0
1,0,112,5.6000000000001053,20,0,0,0,0,0,0
1,0,113,5.6500000000001078,20,0,0,0,0,0,0
1,0,114,5.7000000000001103,20,0,0,0,0,0,0
1,0,115,5.7500000000001128,20,0,0,0,0,0,0
1,0,116,5.8000000000001153,20,0,0,0,0,0,0
1,0,117,5.8500000000001195,20,0,0,0,0,0,0
1,0,118,5.900000000000122,20,0,0,0,0,0,0
1,0,119,5.9500000000001245,20,0,0,0,0,0,0
